IDCode,S1,S2,S3,S4,S5,Missing_total,gmm_aicc_best_label
paxi044,6,5,0,2,2,6.947368421,0
pivi588,16,34,5,4,7,0.0,1
weda047,11,32,5,5,4,0.0,1
zoka501,7,20,5,5,5,0.0,3
hyku415,8,28,5,3,4,0.0,2
syvi476,8,14,2,2,4,0.0,0
kuqy630,12,31,5,4,4,0.0,2
node314,9,24,3,5,2,0.0,2
mybu425,12,30,2,3,2,0.0,3
pyqy867,11,31,5,6,1,0.0,1
tywo507,13,31,5,4,5,0.0,1
nuhi137,10,24,1,3,2,0.0,3
vuho146,12,19,3,6,5,6.947368421,3
nysa238,10,18,3,3,4,1.736842105,0
kisa730,11,30,4,5,3,8.684210526,2
doza768,7,25,3,3,2,0.0,2
sapu497,8,24,5,3,4,0.0,3
dila385,14,27,3,5,4,0.0,3
pymu787,11,20,3,5,3,0.0,2
bejy525,9,28,3,5,2,0.0,3
bajo794,14,30,4,2,4,0.0,1
dugu064,1,17,4,4,3,3.473684211,0
hiwu738,12,29,4,6,6,0.0,1
zucy684,9,30,3,7,3,0.0,2
huxe147,10,22,2,5,5,0.0,3
woza563,9,23,4,5,1,5.210526316,3
neku787,11,27,4,7,4,0.0,1
navo572,8,22,5,3,5,0.0,3
gola051,9,24,4,3,5,0.0,3
pyzo535,8,13,3,3,0,52.10526316,0
xoky149,11,28,2,4,2,0.0,3
loxu319,12,33,5,7,4,0.0,1
qisu640,9,17,3,6,2,12.15789474,0
gery678,6,13,0,4,3,46.89473684,0
huho039,10,27,5,7,3,0.0,2
wozo826,4,15,2,5,3,17.36842105,0
soru820,4,16,5,4,1,0.0,0
fari709,5,13,0,3,0,46.89473684,0
qapo730,10,21,3,5,3,24.31578947,3
najy705,8,25,2,4,2,0.0,3
sejy814,11,33,5,4,5,8.684210526,1
laze716,9,24,3,7,5,0.0,3
kojo378,6,19,2,4,0,5.210526316,0
tepu554,12,31,5,5,3,0.0,1
dyva324,10,16,3,5,2,13.89473684,0
pusu302,6,12,0,2,0,50.36842105,0
xamy888,11,23,4,6,3,0.0,3
ninu744,2,19,0,3,0,1.736842105,0
punu537,5,28,4,4,2,6.947368421,3
zufa556,1,8,0,4,0,15.63157895,0
losy787,7,14,3,4,3,45.15789474,0
fuxa711,8,24,4,4,1,5.210526316,3
myzo000,8,28,5,4,3,5.210526316,3
jygo886,8,17,2,5,1,0.0,0
dyzo734,2,2,2,1,0,52.10526316,0
ciky680,11,33,4,5,5,8.684210526,1
nopo152,8,18,3,4,4,1.736842105,3
tivy194,9,28,4,3,1,3.473684211,3
biry098,7,27,2,4,0,20.84210526,3
tebo981,12,27,5,7,6,0.0,1
jyma323,9,27,4,7,4,0.0,1
cani065,10,27,3,7,6,0.0,1
puxi257,11,18,3,4,3,8.684210526,0
