IDCode,kmeans_label,agglomerative_label,birch_label,gmm_label,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,best_overall_label
paxi044,0,0,1,1,2,1,0,1
pivi588,1,1,0,0,1,2,1,0
weda047,1,1,0,0,1,6,1,0
zoka501,0,0,0,0,0,5,3,0
hyku415,1,1,0,0,5,7,2,0
syvi476,0,0,1,0,2,4,0,0
kuqy630,1,1,0,0,5,0,2,0
node314,0,0,0,0,0,5,2,0
mybu425,1,1,0,0,0,8,3,0
pyqy867,1,1,0,0,3,6,1,0
tywo507,1,1,0,0,3,6,1,0
nuhi137,0,0,0,0,4,4,3,0
vuho146,0,0,0,0,4,5,3,0
nysa238,0,0,0,0,4,3,0,0
kisa730,1,1,0,0,5,7,2,0
doza768,0,0,0,0,4,3,2,0
sapu497,0,0,0,0,0,5,3,0
dila385,1,1,0,0,0,0,3,0
pymu787,0,1,0,0,5,8,2,0
bejy525,1,1,0,0,0,0,3,0
bajo794,1,1,0,0,3,9,1,0
dugu064,0,0,0,0,4,3,0,0
hiwu738,1,1,0,0,3,6,1,0
zucy684,1,1,0,0,5,0,2,0
huxe147,0,0,0,0,0,5,3,0
woza563,0,0,0,0,4,3,3,0
neku787,1,1,0,0,3,0,1,0
navo572,0,0,0,0,0,5,3,0
gola051,0,0,0,0,0,5,3,0
pyzo535,0,0,1,1,2,1,0,1
xoky149,0,1,0,0,0,5,3,0
loxu319,1,1,0,0,1,2,1,0
qisu640,0,0,0,0,4,8,0,0
gery678,0,0,1,1,2,1,0,1
huho039,1,1,0,0,5,0,2,0
wozo826,0,0,0,0,4,3,0,0
soru820,0,0,0,0,4,3,0,0
fari709,0,0,1,1,2,1,0,1
qapo730,0,0,0,0,4,4,3,0
najy705,0,0,0,0,4,4,3,0
sejy814,1,1,0,0,3,6,1,0
laze716,1,1,0,0,0,0,3,0
kojo378,0,0,0,0,4,4,0,0
tepu554,1,1,0,0,3,6,1,0
dyva324,0,0,0,0,4,4,0,0
pusu302,0,0,1,1,2,1,0,1
xamy888,0,0,0,0,0,5,3,0
ninu744,0,0,1,0,2,4,0,0
punu537,0,0,0,0,0,5,3,0
zufa556,0,0,1,1,2,1,0,1
losy787,0,0,1,0,2,3,0,0
fuxa711,0,0,0,0,4,4,3,0
myzo000,1,1,0,0,3,0,3,0
jygo886,0,0,0,0,4,4,0,0
dyzo734,0,0,1,1,2,1,0,1
ciky680,1,1,0,0,3,6,1,0
nopo152,0,0,0,0,4,4,3,0
tivy194,0,0,0,0,0,5,3,0
biry098,0,0,0,0,4,4,3,0
tebo981,1,1,0,0,1,6,1,0
jyma323,1,1,0,0,3,0,1,0
cani065,1,1,0,0,3,6,1,0
puxi257,0,0,0,0,4,4,0,0
jemy201,0,0,0,0,0,5,3,0
woqa919,1,1,0,0,3,0,1,0
huze427,0,0,0,0,4,4,0,0
jaxe723,1,1,0,0,3,6,1,0
xamy676,0,0,0,0,0,5,3,0
lowy720,1,1,0,0,5,7,2,0
mixa281,0,0,0,0,4,4,3,0
sipy389,0,0,0,0,2,4,0,0
bube109,1,1,0,0,3,9,1,0
boqe999,1,1,0,0,1,6,1,0
guzo911,1,1,0,0,0,0,3,0
guxe800,1,1,0,0,0,0,3,0
dove442,0,1,0,0,0,8,3,0
zivi062,0,0,0,0,0,5,3,0
lury747,0,0,0,0,4,4,3,0
tuve726,0,0,0,0,0,5,3,0
vihu826,1,1,0,0,5,7,2,0
hata313,0,0,0,0,0,5,3,0
hoki309,0,0,0,0,4,3,3,0
kyzy131,0,0,0,0,4,4,3,0
syti148,1,1,0,0,3,0,1,0
syco853,1,1,0,0,5,7,2,0
sefy975,0,0,0,0,4,4,3,0
jese656,1,1,0,0,3,6,1,0
guge611,0,0,0,0,4,4,3,0
mesi806,0,0,0,0,5,3,2,0
sesi698,1,1,0,0,3,6,1,0
gopa505,1,0,0,0,0,7,2,0
duwi894,1,1,0,0,3,6,1,0
hasa034,0,0,0,0,0,5,3,0
pile112,1,1,0,0,1,2,1,0
sivi804,0,0,0,0,0,5,3,0
maho931,0,1,0,0,5,8,2,0
waho571,0,0,0,0,0,5,3,0
mowy859,0,0,0,0,4,3,0,0
rihi168,0,0,1,0,2,3,0,0
siry766,1,1,0,0,5,7,2,0
qefe646,0,0,0,0,4,3,0,0
zojo883,1,1,0,0,1,2,1,0
dero258,1,1,0,0,3,6,1,0
mika525,0,0,0,0,4,5,3,0
xohi599,1,1,0,0,3,9,1,0
tebe135,0,1,0,0,5,8,2,0
naso669,0,0,0,0,4,4,0,0
qecu035,1,1,0,0,5,7,2,0
zywy107,0,1,0,0,0,5,3,0
cave700,0,0,0,0,4,4,3,0
nupy082,1,1,0,0,3,6,1,0
hoge626,1,1,0,0,1,2,1,0
nivo041,1,1,0,0,5,0,2,0
karo919,0,0,0,0,4,4,0,0
vuhe805,0,1,0,0,0,5,3,0
kebi083,1,1,0,0,3,9,3,0
faly535,0,0,0,0,4,4,3,0
gelo627,0,0,0,0,4,4,3,0
vili771,1,1,0,0,3,6,1,0
katu927,1,1,0,0,3,9,1,0
xiza150,0,0,0,0,4,4,0,0
bevi590,1,1,0,0,3,6,1,0
huve181,0,0,0,0,4,4,3,0
fite050,1,1,0,0,3,6,1,0
nysu060,1,1,0,0,3,9,1,0
kaho190,0,1,0,0,0,5,3,0
lany944,1,1,0,0,1,2,1,0
maqu534,1,1,0,0,0,0,3,0
wuga870,0,1,0,0,0,0,3,0
wyva352,1,1,0,0,5,0,2,0
hime464,1,1,0,0,0,9,3,0
jexu775,1,1,0,0,3,0,3,0
tuga736,0,0,0,0,4,5,3,0
hyfe498,0,0,0,0,4,4,3,0
bomo360,1,1,0,0,1,6,1,0
lomo204,1,1,0,0,1,2,1,0
mipe544,1,1,0,0,3,9,1,0
hufy497,1,1,0,0,1,6,1,0
rapo919,1,1,0,0,3,8,2,0
gata076,0,0,1,1,2,1,0,1
muvo194,0,0,0,0,4,3,0,0
cywo537,1,1,0,0,0,0,3,0
xamy327,0,1,0,0,5,7,2,0
cogu074,1,1,0,0,3,6,1,0
rapo615,0,0,0,0,4,3,0,0
zady580,0,0,0,0,4,3,2,0
nujo284,1,1,0,0,3,0,3,0
syzu625,1,1,0,0,5,7,2,0
myte214,1,1,0,0,5,7,2,0
tyzo440,0,0,0,0,4,3,3,0
vyzo298,1,1,0,0,3,6,1,0
hiwu589,0,1,0,0,5,7,2,0
sazy810,1,1,0,0,3,6,1,0
turi097,0,0,0,0,0,5,3,0
foji729,1,1,0,0,3,9,3,0
dexe201,1,1,0,0,3,6,1,0
dosu709,1,1,0,0,0,0,3,0
doxe392,0,1,0,0,5,7,2,0
culu497,1,1,0,0,0,0,3,0
lije367,1,1,0,0,5,7,2,0
vice024,1,1,0,0,3,6,1,0
kapy740,1,1,0,0,1,6,1,0
vudi262,0,0,0,0,0,5,3,0
tuza510,0,0,0,0,0,5,3,0
tubo945,1,1,0,0,1,6,1,0
bofi323,1,1,0,0,0,5,3,0
zeji633,0,0,1,1,2,1,0,1
bowo488,0,0,0,0,4,3,3,0
pipo687,0,0,1,1,2,1,0,1
core934,1,1,0,0,0,0,2,0
dedu084,0,0,0,0,4,4,0,0
lowa532,0,0,1,1,2,1,0,1
zuha759,0,0,1,1,2,1,0,1
qafu966,0,0,1,1,2,1,0,1
lobo127,1,1,0,0,0,5,3,0
homa046,0,0,1,1,2,3,0,1
keno764,0,0,0,0,4,4,3,0
habe142,1,1,0,0,3,0,1,0
joti731,1,1,0,0,1,2,1,0
reve265,1,0,0,0,0,9,3,0
cyca115,1,1,0,0,1,2,1,0
rawo522,1,1,0,0,1,2,1,0
pogi169,1,1,0,0,1,2,2,0
vepi727,1,1,0,0,0,0,3,0
risy585,0,0,0,0,0,5,3,0
fefu774,1,1,0,0,3,9,1,0
wyxo615,1,1,0,0,3,6,1,0
ciby707,1,1,0,0,5,7,2,0
xuvy948,1,1,0,0,1,2,2,0
ravy196,1,1,0,0,1,2,1,0
loge702,0,0,0,0,0,5,3,0
viry492,1,1,0,0,0,0,3,0
gowa049,1,1,0,0,3,6,1,0
vyva107,1,1,0,0,3,9,1,0
duxo262,1,1,0,0,1,2,1,0
peto053,1,1,0,0,1,2,1,0
difi858,1,1,0,0,3,6,1,0
xoru423,1,1,0,0,0,9,3,0
wizy437,1,1,0,0,1,2,1,0
kuge219,1,1,0,0,5,2,2,0
hazu473,1,0,0,0,0,0,3,0
gono087,1,1,0,0,0,0,3,0
vury347,1,1,0,0,3,0,1,0
copo281,0,0,1,1,2,1,0,1
heda014,1,1,0,0,1,6,1,0
powu461,1,1,0,0,1,2,1,0
peqa279,1,1,0,0,1,6,1,0
lufy687,0,1,0,0,5,8,2,0
koze985,1,1,0,0,1,2,1,0
hadi890,1,1,0,0,3,9,3,0
recu163,1,1,0,0,5,7,2,0
xyzi642,1,1,0,0,1,2,2,0
nejy388,0,0,0,0,5,3,2,0
tezy480,1,1,0,0,3,9,1,0
nawu690,1,1,0,0,3,9,3,0
mofe780,0,1,0,0,5,3,2,0
nily317,0,0,1,1,2,3,0,1
roho333,0,0,0,0,4,3,0,0
xime971,0,0,0,0,4,4,0,0
muqo157,0,0,0,0,4,3,3,0
riby296,0,0,0,0,0,5,3,0
pala257,1,1,0,0,3,0,1,0
tuby409,1,1,0,0,3,9,3,0
