IDCode,index,narrative_gmm_bic_best_label,narrative_best_label
paxi044,0,1,1
pivi588,1,5,5
weda047,2,2,2
zoka501,3,6,6
hyku415,4,0,0
syvi476,5,7,7
kuqy630,6,0,0
node314,7,1,1
mybu425,8,3,3
pyqy867,9,5,5
tywo507,10,9,9
nuhi137,11,7,7
vuho146,12,1,1
nysa238,13,1,1
kisa730,14,0,0
doza768,15,1,1
sapu497,16,1,1
dila385,17,3,3
pymu787,18,4,4
bejy525,19,0,0
bajo794,20,3,3
dugu064,21,4,4
hiwu738,22,2,2
zucy684,23,2,2
huxe147,24,1,1
woza563,25,1,1
neku787,26,3,3
navo572,27,1,1
gola051,28,8,8
pyzo535,29,1,1
xoky149,30,0,0
loxu319,31,2,2
qisu640,32,4,4
gery678,33,7,7
huho039,34,0,0
wozo826,35,1,1
soru820,36,1,1
fari709,37,4,4
qapo730,38,1,1
najy705,39,4,4
sejy814,40,2,2
laze716,41,3,3
kojo378,42,7,7
tepu554,43,6,6
dyva324,44,4,4
pusu302,45,1,1
xamy888,46,4,4
ninu744,47,7,7
punu537,48,8,8
zufa556,49,4,4
losy787,50,1,1
fuxa711,51,4,4
myzo000,52,0,0
jygo886,53,1,1
dyzo734,54,1,1
ciky680,55,2,2
nopo152,56,7,7
tivy194,57,7,7
biry098,58,1,1
tebo981,59,2,2
jyma323,60,8,8
cani065,61,5,5
puxi257,62,1,1
jemy201,63,8,8
woqa919,64,0,0
huze427,65,7,7
jaxe723,66,6,6
xamy676,67,4,4
lowy720,68,0,0
mixa281,69,4,4
sipy389,70,7,7
bube109,71,3,3
boqe999,72,9,9
guzo911,73,0,0
guxe800,74,0,0
dove442,75,3,3
zivi062,76,7,7
lury747,77,4,4
tuve726,78,0,0
vihu826,79,2,2
hata313,80,4,4
hoki309,81,4,4
kyzy131,82,4,4
syti148,83,3,3
syco853,84,2,2
sefy975,85,4,4
jese656,86,5,5
guge611,87,1,1
mesi806,88,1,1
sesi698,89,5,5
gopa505,90,0,0
duwi894,91,5,5
hasa034,92,0,0
pile112,93,5,5
sivi804,94,1,1
maho931,95,1,1
waho571,96,7,7
mowy859,97,1,1
rihi168,98,1,1
siry766,99,0,0
qefe646,100,4,4
zojo883,101,5,5
dero258,102,9,9
mika525,103,4,4
xohi599,104,9,9
tebe135,105,1,1
naso669,106,7,7
qecu035,107,2,2
zywy107,108,0,0
cave700,109,4,4
nupy082,110,2,2
hoge626,111,2,2
nivo041,112,2,2
karo919,113,4,4
vuhe805,114,0,0
kebi083,115,8,8
faly535,116,1,1
gelo627,117,1,1
vili771,118,5,5
katu927,119,3,3
xiza150,120,7,7
bevi590,121,9,9
huve181,122,4,4
fite050,123,9,9
nysu060,124,9,9
kaho190,125,0,0
lany944,126,9,9
maqu534,127,0,0
wuga870,128,0,0
wyva352,129,0,0
hime464,130,6,6
jexu775,131,3,3
tuga736,132,1,1
hyfe498,133,7,7
bomo360,134,5,5
lomo204,135,5,5
mipe544,136,8,8
hufy497,137,9,9
rapo919,138,8,8
gata076,139,1,1
muvo194,140,1,1
cywo537,141,3,3
xamy327,142,1,1
cogu074,143,2,2
rapo615,144,1,1
zady580,145,1,1
nujo284,146,0,0
syzu625,147,0,0
myte214,148,0,0
tyzo440,149,1,1
vyzo298,150,9,9
hiwu589,151,0,0
sazy810,152,5,5
turi097,153,8,8
foji729,154,8,8
dexe201,155,5,5
dosu709,156,0,0
doxe392,157,1,1
culu497,158,0,0
lije367,159,2,2
vice024,160,9,9
kapy740,161,2,2
vudi262,162,1,1
tuza510,163,4,4
tubo945,164,2,2
bofi323,165,0,0
zeji633,166,1,1
bowo488,167,1,1
pipo687,168,1,1
core934,169,0,0
dedu084,170,1,1
lowa532,171,1,1
zuha759,172,1,1
qafu966,173,1,1
lobo127,174,0,0
homa046,175,1,1
keno764,176,4,4
habe142,177,0,0
joti731,178,9,9
reve265,179,8,8
cyca115,180,2,2
rawo522,181,5,5
pogi169,182,2,2
vepi727,183,0,0
risy585,184,4,4
fefu774,185,9,9
wyxo615,186,5,5
ciby707,187,2,2
xuvy948,188,5,5
ravy196,189,5,5
loge702,190,3,3
viry492,191,0,0
gowa049,192,5,5
vyva107,193,6,6
duxo262,194,6,6
peto053,195,2,2
difi858,196,2,2
xoru423,197,0,0
wizy437,198,5,5
kuge219,199,5,5
hazu473,200,0,0
gono087,201,0,0
vury347,202,3,3
copo281,203,1,1
heda014,204,5,5
powu461,205,2,2
peqa279,206,5,5
lufy687,207,4,4
koze985,208,2,2
hadi890,209,6,6
recu163,210,2,2
xyzi642,211,2,2
nejy388,212,1,1
tezy480,213,8,8
nawu690,214,3,3
mofe780,215,1,1
nily317,216,1,1
roho333,217,1,1
xime971,218,4,4
muqo157,219,1,1
riby296,220,6,6
pala257,221,0,0
tuby409,222,2,2
hoxo855,223,1,1
qixy634,224,2,2
niri091,225,3,3
lazi600,226,6,6
qedo478,227,4,4
ruhu758,228,2,2
cima563,229,2,2
lyzy104,230,0,0
xafy802,231,0,0
bacy598,232,7,7
kexi927,233,7,7
cumo221,234,5,5
kami789,235,4,4
zoko875,236,6,6
sina926,237,9,9
fise899,238,0,0
cija437,239,9,9
manu258,240,0,0
zuwa573,241,5,5
joxi410,242,1,1
muta539,243,9,9
reqy562,244,2,2
doxe492,245,2,2
gylu244,246,4,4
maxy370,247,5,5
ryko512,248,2,2
kula014,249,2,2
jeqy595,250,4,4
guva627,251,6,6
lohy238,252,5,5
cobi870,253,4,4
giki066,254,9,9
hywy001,255,8,8
feji918,256,2,2
luli756,257,6,6
wumu083,258,2,2
cyga680,259,9,9
buvy316,260,0,0
rejy122,261,2,2
dusi300,262,2,2
howe436,263,2,2
ropi792,264,9,9
jemy300,265,9,9
qexo432,266,6,6
kyso927,267,2,2
cozi663,268,7,7
vani542,269,8,8
kaxu871,270,5,5
moku835,271,9,9
cahe192,272,9,9
feso129,273,9,9
tufa140,274,9,9
zigi489,275,7,7
dahi696,276,9,9
quhe482,277,7,7
taxa827,278,8,8
vuga321,279,6,6
nycu731,280,9,9
raxy329,281,8,8
nyfe489,282,5,5
texu966,283,7,7
kifo712,284,7,7
pajo050,285,1,1
hefy659,286,7,7
tujy672,287,9,9
cyfe247,288,7,7
xori482,289,8,8
raje697,290,2,2
biwu043,291,4,4
cylu852,292,0,0
fode209,293,0,0
woju333,294,1,1
saca329,295,5,5
jizi110,296,3,3
vyxi492,297,2,2
xehy451,298,0,0
feke878,299,1,1
rozu771,300,0,0
duvi856,301,5,5
nexu635,302,3,3
cozi454,303,1,1
saze236,304,0,0
quzy338,305,0,0
lula174,306,5,5
buzo685,307,4,4
huby293,308,2,2
dyhi182,309,0,0
tatu362,310,2,2
bene344,311,3,3
keho061,312,4,4
vyxy108,313,3,3
zusa663,314,5,5
nehe056,315,2,2
myve834,316,2,2
tyhy481,317,1,1
sati762,318,3,3
biku776,319,4,4
wify666,320,5,5
sony276,321,5,5
tusi463,322,3,3
baco446,323,4,4
coni238,324,6,6
tuvu087,325,4,4
vuci475,326,4,4
seto741,327,7,7
jewe923,328,6,6
jaqy340,329,3,3
pubu440,330,7,7
gyjy255,331,6,6
zyte492,332,2,2
ruco451,333,4,4
loda300,334,8,8
moly152,335,4,4
cuba307,336,3,3
