K,covariance_type,bic
2,full,-1074850.2463519545
2,diag,-3584354.963976224
2,tied,-2908357.701249669
2,spherical,-3485012.2570114625
3,full,771586.9577467674
3,diag,-3662896.7177109118
3,tied,-2905160.4235089
3,spherical,-3565192.25134963
4,full,2623261.6226684153
4,diag,-3737056.7646361464
4,tied,-2901865.0718970764
4,spherical,-3645090.1494711787
5,full,4476342.119037486
5,diag,-3786670.4777885345
5,tied,-2898703.4840326295
5,spherical,-3693252.13303015
6,full,6329635.230257377
6,diag,-3824274.212568895
6,tied,-2894833.4329057
6,spherical,-3737964.0476115253
7,full,8184936.861558646
7,diag,-3866759.8578481446
7,tied,-2891316.428079445
7,spherical,-3789164.2252767463
8,full,10040220.758100191
8,diag,-3903320.2711261287
8,tied,-2889746.108450304
8,spherical,-3830653.0352601707
9,full,11896668.920419607
9,diag,-3942386.1846429287
9,tied,-2886838.5980871925
9,spherical,-3879057.5542885936
10,full,13754033.004720857
10,diag,-3967617.2588114766
10,tied,-2882937.727255589
10,spherical,-3916598.421509265
