IDCode,gmm_bic_best_label,gmm_aic_best_label,narrative_best_label,narrative_text
vabe169,1,2,0,"The student answered 57 items with high accuracy (0.88 proportion correct). Their responses are moderate on average (mean response time 15.13 seconds) and moderately variable in timing (response-time variance 158.80, coefficient of variation 0.83). They have a long longest correct streak (26 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.80)."
saca329,1,6,0,"The student answered 57 items with high accuracy (0.84 proportion correct). Their responses are moderate on average (mean response time 18.01 seconds) and moderately variable in timing (response-time variance 282.47, coefficient of variation 0.93). They have a long longest correct streak (18 in a row) and a short longest incorrect streak (1 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70)."
jide437,1,2,0,"The student answered 57 items with high accuracy (0.89 proportion correct). Their responses are moderate on average (mean response time 17.29 seconds) and moderately variable in timing (response-time variance 234.23, coefficient of variation 0.89). They have a long longest correct streak (20 in a row) and a short longest incorrect streak (1 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.80)."
caro445,3,6,0,"The student answered 57 items with high accuracy (0.79 proportion correct). Their responses are moderate on average (mean response time 17.98 seconds) and moderately variable in timing (response-time variance 213.60, coefficient of variation 0.81). They have a long longest correct streak (22 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.68)."
peqa279,1,6,0,"The student answered 57 items with high accuracy (0.82 proportion correct). Their responses are moderate on average (mean response time 19.13 seconds) and moderately variable in timing (response-time variance 268.81, coefficient of variation 0.86). They have a long longest correct streak (38 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75)."
fafe171,4,3,1,"The student answered 57 items with low accuracy (0.46 proportion correct). Their responses are slow on average (mean response time 22.21 seconds) and highly variable in timing (response-time variance 433.71, coefficient of variation 0.94). They have a short longest correct streak (6 in a row) and a long longest incorrect streak (15 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.25)."
vexo008,4,3,1,"The student answered 57 items with low accuracy (0.54 proportion correct). Their responses are slow on average (mean response time 20.65 seconds) and highly variable in timing (response-time variance 398.18, coefficient of variation 0.97). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.36)."
doza768,4,3,1,"The student answered 57 items with low accuracy (0.61 proportion correct). Their responses are slow on average (mean response time 33.16 seconds) and highly variable in timing (response-time variance 786.72, coefficient of variation 0.85). They have a short longest correct streak (6 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.39)."
muvo194,4,3,1,"The student answered 57 items with low accuracy (0.54 proportion correct). Their responses are slow on average (mean response time 28.01 seconds) and highly variable in timing (response-time variance 658.17, coefficient of variation 0.92). They have a short longest correct streak (10 in a row) and a long longest incorrect streak (15 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.38)."
gata076,2,1,1,"The student answered 57 items with low accuracy (0.35 proportion correct). Their responses are slow on average (mean response time 22.70 seconds) and highly variable in timing (response-time variance 395.81, coefficient of variation 0.88). They have a short longest correct streak (6 in a row) and a long longest incorrect streak (17 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.23)."
