K,covariance_type,bic
2,full,-1360105.0144632002
2,diag,-1613690.126368567
2,tied,-1805749.2341994348
2,spherical,-1565824.490141622
3,full,-909631.149837929
3,diag,-1660952.827906382
3,tied,-1806424.858094849
3,spherical,-1613882.6330019438
4,full,-454106.74957134924
4,diag,-1696879.367595827
4,tied,-1804842.9901843371
4,spherical,-1654179.2311760434
5,full,1918.2087989524007
5,diag,-1732276.8061039955
5,tied,-1803011.1460817063
5,spherical,-1691092.8116744687
6,full,461288.464171635
6,diag,-1746176.3294873787
6,tied,-1801198.3729008457
6,spherical,-1707893.4065180144
7,full,919894.23890793
7,diag,-1774944.476715027
7,tied,-1801306.6050243143
7,spherical,-1748527.077814905
8,full,1379680.9042863129
8,diag,-1799091.7376154726
8,tied,-1799840.140447573
8,spherical,-1777962.42642788
9,full,1839247.4777896954
9,diag,-1821947.4245898419
9,tied,-1799996.395010554
9,spherical,-1806857.9636392328
10,full,2303372.5748276785
10,diag,-1826271.8174059105
10,tied,-1798022.5886661143
10,spherical,-1813683.716737363
