IDCode,gmm_bic_best_label,gmm_aic_best_label,narrative_best_label,narrative_text
pivi588,1,2,0,"The student answered 57 items with high accuracy (0.91 proportion correct). Their responses are moderate on average (mean response time 17.59 seconds) and highly variable in timing (response-time variance 476.24, coefficient of variation 1.24). They have a long longest correct streak (23 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.86)."
pyqy867,3,6,0,"The student answered 57 items with high accuracy (0.79 proportion correct). Their responses are moderate on average (mean response time 17.57 seconds) and moderately variable in timing (response-time variance 215.20, coefficient of variation 0.83). They have a moderate longest correct streak (12 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
tepu554,3,6,0,"The student answered 57 items with high accuracy (0.82 proportion correct). Their responses are moderate on average (mean response time 18.45 seconds) and stable in timing (response-time variance 101.47, coefficient of variation 0.55). They have a long longest correct streak (20 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71)."
cani065,3,6,0,"The student answered 57 items with high accuracy (0.79 proportion correct). Their responses are moderate on average (mean response time 18.96 seconds) and moderately variable in timing (response-time variance 169.10, coefficient of variation 0.69). They have a long longest correct streak (21 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.64)."
jaxe723,3,6,0,"The student answered 57 items with high accuracy (0.81 proportion correct). Their responses are moderate on average (mean response time 14.85 seconds) and stable in timing (response-time variance 106.63, coefficient of variation 0.70). They have a moderate longest correct streak (14 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.68)."
paxi044,2,1,1,"The student answered 57 items with low accuracy (0.16 proportion correct). Their responses are fast on average (mean response time 13.81 seconds) and highly variable in timing (response-time variance 517.59, coefficient of variation 1.65). They have a short longest correct streak (3 in a row) and a long longest incorrect streak (28 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.05)."
node314,0,5,1,"The student answered 57 items with low accuracy (0.63 proportion correct). Their responses are slow on average (mean response time 27.08 seconds) and highly variable in timing (response-time variance 636.90, coefficient of variation 0.93). They have a moderate longest correct streak (14 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.46)."
vuho146,4,5,1,"The student answered 57 items with low accuracy (0.61 proportion correct). Their responses are slow on average (mean response time 19.52 seconds) and highly variable in timing (response-time variance 338.27, coefficient of variation 0.94). They have a short longest correct streak (9 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.46)."
nysa238,4,3,1,"The student answered 57 items with low accuracy (0.53 proportion correct). Their responses are slow on average (mean response time 25.55 seconds) and highly variable in timing (response-time variance 579.71, coefficient of variation 0.94). They have a moderate longest correct streak (13 in a row) and a long longest incorrect streak (9 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.41)."
doza768,4,3,1,"The student answered 57 items with low accuracy (0.61 proportion correct). Their responses are slow on average (mean response time 33.16 seconds) and highly variable in timing (response-time variance 786.72, coefficient of variation 0.85). They have a short longest correct streak (6 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.39)."
