IDCode,gmm_bic_best_label,gmm_aic_best_label,narrative_best_label,narrative_text
hyku415,4,5,0,The student answered 57 items with a medium number of correct answers (42 correct). Their responses are slow on average (mean response time 29.43 seconds) and highly variable in timing (response-time variance 1214.94). They have a long longest correct streak (25 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.61).
kuqy630,6,3,0,The student answered 57 items with a high number of correct answers (45 correct). Their responses are slow on average (mean response time 25.61 seconds) and highly variable in timing (response-time variance 638.33). They have a moderate longest correct streak (12 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.64).
kisa730,4,5,0,The student answered 57 items with a medium number of correct answers (42 correct). Their responses are slow on average (mean response time 33.55 seconds) and highly variable in timing (response-time variance 1450.05). They have a moderate longest correct streak (15 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55).
bejy525,5,0,0,The student answered 57 items with a medium number of correct answers (40 correct). Their responses are slow on average (mean response time 22.32 seconds) and highly variable in timing (response-time variance 496.16). They have a long longest correct streak (18 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.59).
xoky149,5,0,0,The student answered 57 items with a medium number of correct answers (38 correct). Their responses are slow on average (mean response time 20.52 seconds) and highly variable in timing (response-time variance 489.20). They have a short longest correct streak (9 in a row) and a long longest incorrect streak (8 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.52).
boqe999,0,1,1,The student answered 57 items with a high number of correct answers (48 correct). Their responses are fast on average (mean response time 13.78 seconds) and stable in timing (response-time variance 65.66). They have a long longest correct streak (36 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75).
dero258,0,1,1,The student answered 57 items with a high number of correct answers (46 correct). Their responses are fast on average (mean response time 9.84 seconds) and stable in timing (response-time variance 66.83). They have a long longest correct streak (23 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71).
fite050,0,1,1,The student answered 57 items with a high number of correct answers (47 correct). Their responses are fast on average (mean response time 12.75 seconds) and stable in timing (response-time variance 94.87). They have a long longest correct streak (18 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.73).
nysu060,6,3,1,The student answered 57 items with a high number of correct answers (45 correct). Their responses are fast on average (mean response time 12.78 seconds) and stable in timing (response-time variance 83.09). They have a long longest correct streak (18 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.68).
lany944,1,7,1,The student answered 57 items with a high number of correct answers (52 correct). Their responses are fast on average (mean response time 10.48 seconds) and stable in timing (response-time variance 62.83). They have a long longest correct streak (44 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.88).
pymu787,3,4,2,The student answered 57 items with a low number of correct answers (33 correct). Their responses are moderate on average (mean response time 19.42 seconds) and highly variable in timing (response-time variance 720.56). They have a moderate longest correct streak (17 in a row) and a long longest incorrect streak (16 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.48).
dugu064,3,4,2,The student answered 57 items with a low number of correct answers (28 correct). Their responses are moderate on average (mean response time 19.18 seconds) and highly variable in timing (response-time variance 461.81). They have a moderate longest correct streak (15 in a row) and a long longest incorrect streak (9 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.38).
qisu640,3,4,2,The student answered 57 items with a low number of correct answers (30 correct). Their responses are moderate on average (mean response time 14.70 seconds) and highly variable in timing (response-time variance 484.54). They have a moderate longest correct streak (12 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.34).
fari709,2,6,2,The student answered 57 items with a low number of correct answers (16 correct). Their responses are moderate on average (mean response time 17.35 seconds) and stable in timing (response-time variance 136.60). They have a short longest correct streak (4 in a row) and a long longest incorrect streak (23 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.12).
najy705,3,4,2,The student answered 57 items with a low number of correct answers (33 correct). Their responses are moderate on average (mean response time 15.62 seconds) and stable in timing (response-time variance 57.20). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (14 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.43).
