narrative_best_label,S1,S2,S3,S5,S6,Missing_total
0,9.793650793650794,26.444444444444443,4.333333333333333,5.111111111111111,3.5555555555555554,1.6265664160634923
1,12.216216216216216,31.135135135135137,4.837837837837838,6.297297297297297,4.513513513513513,0.28165007110810814
2,7.254237288135593,19.694915254237287,3.1016949152542375,4.0508474576271185,2.3559322033898304,9.066904549542373
3,7.154761904761905,18.44047619047619,2.607142857142857,4.166666666666667,2.3095238095238093,11.55827067675
4,10.226415094339623,27.39622641509434,4.132075471698113,5.018867924528302,3.3962264150943398,1.2125124131320755
5,6.8604651162790695,16.72093023255814,2.0697674418604652,3.5813953488372094,2.558139534883721,13.652386781069767
6,12.183098591549296,30.338028169014084,4.647887323943662,6.154929577464789,4.577464788732394,1.100815418774648
7,11.477272727272727,30.40909090909091,4.613636363636363,6.340909090909091,4.386363636363637,0.19736842104545452
8,10.346153846153847,28.115384615384617,4.211538461538462,5.25,3.980769230769231,1.2024291498846154
9,12.806451612903226,31.032258064516128,4.806451612903226,5.32258064516129,4.67741935483871,0.5602716468709678
