K,covariance_type,bic
2,full,-1061751.650279414
2,diag,-3460700.658723899
2,tied,-2894095.931219341
2,spherical,-3355161.7602844657
3,full,783307.4708260018
3,diag,-3547027.64644922
3,tied,-2891017.939897028
3,spherical,-3432767.3469330124
4,full,2632922.6932988176
4,diag,-3626980.389592803
4,tied,-2887753.660059844
4,spherical,-3516019.9760721326
5,full,4484679.66308111
5,diag,-3684437.466885093
5,tied,-2885815.9416018645
5,spherical,-3584649.216812479
6,full,6338298.748231763
6,diag,-3719671.6224577795
6,tied,-2880071.999193361
6,spherical,-3625793.167392933
7,full,8193236.281791995
7,diag,-3775102.301681663
7,tied,-2877930.0208294373
7,spherical,-3690237.5285241497
8,full,10047811.133568529
8,diag,-3812249.9712301884
8,tied,-2874076.8726767814
8,spherical,-3743109.8232257883
9,full,11903311.760656781
9,diag,-3838636.658490099
9,tied,-2870241.762153798
9,spherical,-3779857.720848892
10,full,13760859.298661992
10,diag,-3859003.544680028
10,tied,-2867719.505844997
10,spherical,-3806674.7082018745
