IDCode,index,narrative_gmm_bic_best_label,narrative_best_label
paxi044,0,3,3
pivi588,1,6,6
weda047,2,9,9
zoka501,3,4,4
hyku415,4,0,0
syvi476,5,5,5
kuqy630,6,0,0
node314,7,3,3
mybu425,8,4,4
pyqy867,9,4,4
tywo507,10,8,8
nuhi137,11,5,5
vuho146,12,3,3
nysa238,13,3,3
kisa730,14,0,0
doza768,15,3,3
sapu497,16,3,3
dila385,17,4,4
pymu787,18,2,2
bejy525,19,0,0
bajo794,20,4,4
dugu064,21,2,2
hiwu738,22,9,9
zucy684,23,7,7
huxe147,24,3,3
woza563,25,3,3
neku787,26,4,4
navo572,27,3,3
gola051,28,8,8
pyzo535,29,3,3
xoky149,30,0,0
loxu319,31,7,7
qisu640,32,2,2
gery678,33,5,5
huho039,34,0,0
wozo826,35,3,3
soru820,36,3,3
fari709,37,2,2
qapo730,38,3,3
najy705,39,2,2
sejy814,40,9,9
laze716,41,4,4
kojo378,42,5,5
tepu554,43,6,6
dyva324,44,2,2
pusu302,45,3,3
xamy888,46,2,2
ninu744,47,5,5
punu537,48,8,8
zufa556,49,2,2
losy787,50,3,3
fuxa711,51,2,2
myzo000,52,0,0
jygo886,53,3,3
dyzo734,54,3,3
ciky680,55,7,7
nopo152,56,5,5
tivy194,57,5,5
biry098,58,3,3
tebo981,59,9,9
jyma323,60,8,8
cani065,61,6,6
puxi257,62,3,3
jemy201,63,8,8
woqa919,64,0,0
huze427,65,5,5
jaxe723,66,6,6
xamy676,67,2,2
lowy720,68,0,0
mixa281,69,2,2
sipy389,70,5,5
bube109,71,4,4
boqe999,72,1,1
guzo911,73,0,0
guxe800,74,0,0
dove442,75,4,4
zivi062,76,5,5
lury747,77,2,2
tuve726,78,0,0
vihu826,79,7,7
hata313,80,2,2
hoki309,81,2,2
kyzy131,82,2,2
syti148,83,4,4
syco853,84,7,7
sefy975,85,2,2
jese656,86,6,6
guge611,87,3,3
mesi806,88,3,3
sesi698,89,6,6
gopa505,90,0,0
duwi894,91,6,6
hasa034,92,0,0
pile112,93,6,6
sivi804,94,3,3
maho931,95,3,3
waho571,96,3,3
mowy859,97,3,3
rihi168,98,3,3
siry766,99,0,0
qefe646,100,2,2
zojo883,101,6,6
dero258,102,1,1
mika525,103,2,2
xohi599,104,8,8
tebe135,105,3,3
naso669,106,5,5
qecu035,107,7,7
zywy107,108,0,0
cave700,109,2,2
nupy082,110,9,9
hoge626,111,9,9
nivo041,112,7,7
karo919,113,2,2
vuhe805,114,0,0
kebi083,115,8,8
faly535,116,3,3
gelo627,117,3,3
vili771,118,6,6
katu927,119,4,4
xiza150,120,5,5
bevi590,121,8,8
huve181,122,2,2
fite050,123,1,1
nysu060,124,1,1
kaho190,125,0,0
lany944,126,1,1
maqu534,127,0,0
wuga870,128,0,0
wyva352,129,0,0
hime464,130,4,4
jexu775,131,4,4
tuga736,132,3,3
hyfe498,133,5,5
bomo360,134,6,6
lomo204,135,6,6
mipe544,136,8,8
hufy497,137,1,1
rapo919,138,8,8
gata076,139,3,3
muvo194,140,3,3
cywo537,141,4,4
xamy327,142,3,3
cogu074,143,7,7
rapo615,144,3,3
zady580,145,3,3
nujo284,146,0,0
syzu625,147,0,0
myte214,148,0,0
tyzo440,149,3,3
vyzo298,150,1,1
hiwu589,151,0,0
sazy810,152,6,6
turi097,153,8,8
foji729,154,8,8
dexe201,155,6,6
dosu709,156,7,7
doxe392,157,3,3
culu497,158,0,0
lije367,159,7,7
vice024,160,1,1
kapy740,161,7,7
vudi262,162,3,3
tuza510,163,2,2
tubo945,164,9,9
bofi323,165,0,0
zeji633,166,3,3
bowo488,167,3,3
pipo687,168,3,3
core934,169,0,0
dedu084,170,3,3
lowa532,171,3,3
zuha759,172,3,3
qafu966,173,3,3
lobo127,174,0,0
homa046,175,3,3
keno764,176,2,2
habe142,177,0,0
joti731,178,1,1
reve265,179,8,8
cyca115,180,9,9
rawo522,181,6,6
pogi169,182,7,7
vepi727,183,0,0
risy585,184,2,2
fefu774,185,1,1
wyxo615,186,6,6
ciby707,187,7,7
xuvy948,188,6,6
ravy196,189,6,6
loge702,190,4,4
viry492,191,0,0
gowa049,192,6,6
vyva107,193,4,4
duxo262,194,6,6
peto053,195,9,9
difi858,196,9,9
xoru423,197,0,0
wizy437,198,6,6
kuge219,199,6,6
hazu473,200,0,0
gono087,201,0,0
vury347,202,4,4
copo281,203,3,3
heda014,204,6,6
powu461,205,7,7
peqa279,206,6,6
lufy687,207,2,2
koze985,208,7,7
hadi890,209,4,4
recu163,210,7,7
xyzi642,211,7,7
nejy388,212,3,3
tezy480,213,8,8
nawu690,214,6,6
mofe780,215,3,3
nily317,216,3,3
roho333,217,3,3
xime971,218,2,2
muqo157,219,3,3
riby296,220,4,4
pala257,221,0,0
