K,covariance_type,bic
2,full,-1447828.3732108735
2,diag,-1375746.347788442
2,tied,-1892436.0393893125
2,spherical,-1317345.0113927687
3,full,-999695.5365534218
3,diag,-1453942.5138640823
3,tied,-1892351.8295115174
3,spherical,-1391155.2205752765
4,full,-538319.7006221835
4,diag,-1478086.4460635416
4,tied,-1892179.0439200543
4,spherical,-1419736.2423207378
5,full,-77927.81217966741
5,diag,-1501303.7352863152
5,tied,-1891894.0491572942
5,spherical,-1445730.1254341826
6,full,382562.5803845674
6,diag,-1528414.3499501334
6,tied,-1893919.0750832113
6,spherical,-1478306.7818949076
7,full,845752.4360891888
7,diag,-1559861.096763327
7,tied,-1892820.899205345
7,spherical,-1506451.4405357374
8,full,1310677.375031977
8,diag,-1594339.3018163259
8,tied,-1890702.5283669706
8,spherical,-1547399.6231014074
9,full,1773674.0936471103
9,diag,-1605942.9311937147
9,tied,-1889303.402621331
9,spherical,-1554827.1844031317
10,full,2238715.9599530566
10,diag,-1644853.8947484542
10,tied,-1888307.7300891222
10,spherical,-1601354.8972013574
