IDCode,gmm_bic_best_label,gmm_aic_best_label,narrative_best_label,narrative_text
sesi698,3,6,0,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
sazy810,3,6,0,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
lomo204,1,2,0,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
vili771,3,6,0,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
rawo522,1,2,0,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
qefe646,4,3,1,Accuracy low; speed moderate; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
hoki309,4,3,1,Accuracy low; speed moderate; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
zejy480,4,3,1,Accuracy low; speed moderate; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
lufy687,5,8,1,Accuracy low; speed moderate; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
doxi119,4,4,1,Accuracy low; speed moderate; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
tywo507,3,6,2,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
xohi599,3,9,2,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
bevi590,3,6,2,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
cija437,3,6,2,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
jemy300,1,2,2,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
niri091,0,0,3,Accuracy medium; speed moderate; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
mecu237,3,0,3,Accuracy medium; speed moderate; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
kama922,0,0,3,Accuracy medium; speed moderate; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct occasional.
wyja070,3,8,3,Accuracy medium; speed moderate; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct occasional.
vyxy108,0,5,3,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
syvi476,2,4,4,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
nuhi137,4,4,4,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
gery678,2,1,4,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
kojo378,4,4,4,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
ninu744,2,4,4,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
pivi588,1,2,5,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
pile112,1,2,5,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
kuge219,5,2,5,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
xuvy948,1,2,5,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
vuvy608,1,2,5,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
ratu271,0,0,6,Accuracy medium; speed fast; timing highly variable; correct streak long; incorrect streak moderate; consecutive correct occasional.
bejy525,0,0,6,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak long; consecutive correct occasional.
lobo127,0,5,6,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak long; consecutive correct occasional.
gopa505,0,7,6,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak long; consecutive correct occasional.
saze236,0,0,6,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak long; consecutive correct occasional.
fari709,2,1,7,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
najy705,4,4,7,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
zufa556,2,1,7,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
keno764,4,4,7,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
tomo782,2,1,7,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
vuho146,4,5,8,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
woza563,4,3,8,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
pyzo535,2,1,8,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
soru820,4,3,8,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
pusu302,2,1,8,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
boqe999,1,6,9,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
dero258,3,6,9,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
lany944,1,2,9,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
hufy497,1,6,9,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
joti731,1,2,9,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
