K,covariance_type,bic
2,full,-1104883.9900505207
2,diag,-3170404.0224167597
2,tied,-2924095.8945380957
2,spherical,-3047097.431138705
3,full,734324.9192660116
3,diag,-3261294.8689768235
3,tied,-2920485.3720113933
3,spherical,-3152594.1014261725
4,full,2583166.1496092686
4,diag,-3325475.216050305
4,tied,-2918145.118891757
4,spherical,-3205911.5043931357
5,full,4435169.547004465
5,diag,-3393326.2934086826
5,tied,-2915268.249366323
5,spherical,-3262232.11298193
6,full,6288573.196501574
6,diag,-3423533.715264543
6,tied,-2913425.8924694313
6,spherical,-3296660.1814103243
7,full,8144055.7444700515
7,diag,-3531073.6880991636
7,tied,-2910997.1296377806
7,spherical,-3443960.6143103973
8,full,10001424.74379275
8,diag,-3590807.563953174
8,tied,-2909278.36023047
8,spherical,-3506493.4534117957
9,full,11856770.022895483
9,diag,-3609504.9801961617
9,tied,-2906331.6545797335
9,spherical,-3542169.2816762254
10,full,13715515.898682885
10,diag,-3643029.189465906
10,tied,-2900809.3707117173
10,spherical,-3599978.558806977
