K,covariance_type,bic
2,full,-1144245.6932928246
2,diag,-3571239.371691327
2,tied,-2985479.967775008
2,spherical,-3470681.8398609986
3,full,706406.11101152
3,diag,-3647897.528458685
3,tied,-2979742.6081875023
3,spherical,-3548204.7696414283
4,full,2559885.2929505706
4,diag,-3716146.1086176145
4,tied,-2975494.4888620777
4,spherical,-3613154.887275751
5,full,4415643.0760760335
5,diag,-3755081.5460135094
5,tied,-2974025.8781108516
5,spherical,-3659800.6253424953
6,full,6272950.88591525
6,diag,-3803832.9242655206
6,tied,-2970787.9620287986
6,spherical,-3701384.374660973
7,full,8129765.788158427
7,diag,-3862073.265875444
7,tied,-2966577.245618825
7,spherical,-3784437.4504160057
8,full,9988796.491716608
8,diag,-3882549.0828619073
8,tied,-2963307.510511553
8,spherical,-3791363.046878453
9,full,11847416.547351291
9,diag,-3926440.33116177
9,tied,-2961650.5756958304
9,spherical,-3853209.8412376116
10,full,13705908.632978197
10,diag,-3948038.324689583
10,tied,-2957571.553940061
10,spherical,-3901109.400353525
