IDCode,index,narrative_gmm_bic_best_label,narrative_best_label
paxi044,0,9,9
pivi588,1,5,5
weda047,2,2,2
zoka501,3,3,3
hyku415,4,0,0
syvi476,5,1,1
kuqy630,6,0,0
node314,7,8,8
mybu425,8,3,3
pyqy867,9,3,3
tywo507,10,7,7
nuhi137,11,1,1
vuho146,12,9,9
nysa238,13,4,4
kisa730,14,3,3
doza768,15,4,4
sapu497,16,4,4
dila385,17,3,3
pymu787,18,8,8
bejy525,19,0,0
bajo794,20,3,3
dugu064,21,8,8
hiwu738,22,5,5
zucy684,23,5,5
huxe147,24,4,4
woza563,25,9,9
neku787,26,3,3
navo572,27,4,4
gola051,28,7,7
pyzo535,29,9,9
xoky149,30,0,0
loxu319,31,2,2
qisu640,32,8,8
gery678,33,1,1
huho039,34,2,2
wozo826,35,4,4
soru820,36,9,9
fari709,37,1,1
qapo730,38,4,4
najy705,39,1,1
sejy814,40,5,5
laze716,41,3,3
kojo378,42,1,1
tepu554,43,7,7
dyva324,44,8,8
pusu302,45,9,9
xamy888,46,1,1
ninu744,47,1,1
punu537,48,7,7
zufa556,49,1,1
losy787,50,4,4
fuxa711,51,8,8
myzo000,52,3,3
jygo886,53,4,4
dyzo734,54,4,4
ciky680,55,2,2
nopo152,56,1,1
tivy194,57,1,1
biry098,58,4,4
tebo981,59,2,2
jyma323,60,0,0
cani065,61,5,5
puxi257,62,4,4
jemy201,63,7,7
woqa919,64,0,0
huze427,65,1,1
jaxe723,66,7,7
xamy676,67,8,8
lowy720,68,0,0
mixa281,69,8,8
sipy389,70,1,1
bube109,71,3,3
boqe999,72,6,6
guzo911,73,0,0
guxe800,74,3,3
dove442,75,0,0
zivi062,76,1,1
lury747,77,8,8
tuve726,78,0,0
vihu826,79,5,5
hata313,80,8,8
hoki309,81,4,4
kyzy131,82,8,8
syti148,83,3,3
syco853,84,2,2
sefy975,85,1,1
jese656,86,5,5
guge611,87,4,4
mesi806,88,9,9
sesi698,89,5,5
gopa505,90,0,0
duwi894,91,5,5
hasa034,92,4,4
pile112,93,5,5
sivi804,94,4,4
maho931,95,4,4
waho571,96,1,1
mowy859,97,9,9
rihi168,98,9,9
siry766,99,3,3
qefe646,100,4,4
zojo883,101,5,5
dero258,102,6,6
mika525,103,1,1
xohi599,104,7,7
tebe135,105,9,9
naso669,106,1,1
qecu035,107,5,5
zywy107,108,0,0
cave700,109,8,8
nupy082,110,5,5
hoge626,111,2,2
nivo041,112,5,5
karo919,113,8,8
vuhe805,114,3,3
kebi083,115,7,7
faly535,116,4,4
gelo627,117,4,4
vili771,118,5,5
katu927,119,3,3
xiza150,120,1,1
bevi590,121,7,7
huve181,122,8,8
fite050,123,6,6
nysu060,124,7,7
kaho190,125,0,0
lany944,126,6,6
maqu534,127,0,0
wuga870,128,0,0
wyva352,129,0,0
hime464,130,3,3
jexu775,131,3,3
tuga736,132,8,8
hyfe498,133,1,1
bomo360,134,5,5
lomo204,135,5,5
mipe544,136,7,7
hufy497,137,6,6
rapo919,138,3,3
gata076,139,9,9
muvo194,140,9,9
cywo537,141,3,3
