IDCode,narrative_text
paxi044,"Behaviour summary: correct_level=low, speed=fast, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
pivi588,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=highly variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
weda047,"Behaviour summary: correct_level=high, speed=fast, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
zoka501,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=stable, correct_streak=moderate, incorrect_streak=moderate, consecutive_correct=rare."
hyku415,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=long, incorrect_streak=short, consecutive_correct=occasional."
syvi476,"Behaviour summary: correct_level=low, speed=fast, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
kuqy630,"Behaviour summary: correct_level=high, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=occasional."
node314,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=moderate, consecutive_correct=rare."
mybu425,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=occasional."
pyqy867,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=occasional."
tywo507,"Behaviour summary: correct_level=high, speed=fast, timing_variability=stable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=frequent."
nuhi137,"Behaviour summary: correct_level=low, speed=fast, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
vuho146,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
nysa238,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
kisa730,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=moderate, consecutive_correct=occasional."
doza768,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=moderate, consecutive_correct=rare."
sapu497,"Behaviour summary: correct_level=low, speed=slow, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
dila385,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=moderate, consecutive_correct=occasional."
pymu787,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
bejy525,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=long, incorrect_streak=long, consecutive_correct=occasional."
bajo794,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=moderate, consecutive_correct=occasional."
dugu064,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
hiwu738,"Behaviour summary: correct_level=high, speed=fast, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=frequent."
zucy684,"Behaviour summary: correct_level=high, speed=slow, timing_variability=highly variable, correct_streak=long, incorrect_streak=moderate, consecutive_correct=frequent."
huxe147,"Behaviour summary: correct_level=low, speed=slow, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
woza563,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
neku787,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=occasional."
navo572,"Behaviour summary: correct_level=low, speed=slow, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
gola051,"Behaviour summary: correct_level=medium, speed=fast, timing_variability=stable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=occasional."
pyzo535,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
xoky149,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=occasional."
loxu319,"Behaviour summary: correct_level=high, speed=slow, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
qisu640,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
gery678,"Behaviour summary: correct_level=low, speed=fast, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
huho039,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=frequent."
wozo826,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
soru820,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
fari709,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
qapo730,"Behaviour summary: correct_level=low, speed=slow, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
najy705,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
sejy814,"Behaviour summary: correct_level=high, speed=fast, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=frequent."
laze716,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=moderate, consecutive_correct=occasional."
kojo378,"Behaviour summary: correct_level=low, speed=fast, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
tepu554,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=stable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
dyva324,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
pusu302,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
xamy888,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=stable, correct_streak=short, incorrect_streak=moderate, consecutive_correct=rare."
ninu744,"Behaviour summary: correct_level=low, speed=fast, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
punu537,"Behaviour summary: correct_level=medium, speed=fast, timing_variability=stable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=occasional."
zufa556,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
losy787,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
fuxa711,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
