IDCode,narrative_text
paxi044,Accuracy low; speed fast; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
pivi588,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
weda047,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
zoka501,Accuracy medium; speed moderate; timing stable; correct streak moderate; incorrect streak moderate; consecutive correct rare.
hyku415,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct occasional.
syvi476,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
kuqy630,Accuracy high; speed slow; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
node314,Accuracy low; speed slow; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct rare.
mybu425,Accuracy medium; speed moderate; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
pyqy867,Accuracy high; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
tywo507,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
nuhi137,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
vuho146,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
nysa238,Accuracy low; speed slow; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct rare.
kisa730,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
doza768,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct rare.
sapu497,Accuracy low; speed slow; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct rare.
dila385,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
pymu787,Accuracy low; speed moderate; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct rare.
bejy525,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak long; consecutive correct occasional.
bajo794,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
dugu064,Accuracy low; speed moderate; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct rare.
hiwu738,Accuracy high; speed fast; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
zucy684,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak moderate; consecutive correct frequent.
huxe147,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
woza563,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
neku787,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
navo572,Accuracy low; speed slow; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct rare.
gola051,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak long; consecutive correct occasional.
pyzo535,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
xoky149,Accuracy medium; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct occasional.
loxu319,Accuracy high; speed slow; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
qisu640,Accuracy low; speed moderate; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct rare.
gery678,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
huho039,Accuracy medium; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct frequent.
wozo826,Accuracy low; speed slow; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct rare.
soru820,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
fari709,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
qapo730,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
najy705,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
