IDCode,gmm_bic_best_label,gmm_aic_best_label,narrative_best_label,narrative_text
hyku415,4,5,0,"The student answered 57 items with medium accuracy (0.74 proportion correct). Their responses are slow on average (mean response time 29.43 seconds) and highly variable in timing (response-time variance 1214.94, coefficient of variation 1.18). They have a long longest correct streak (25 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.61). They have subject marks: S1=8, S2=28, S3=5, S5=3, S6=4 and overall missingness 0.00%."
kisa730,4,5,0,"The student answered 57 items with medium accuracy (0.74 proportion correct). Their responses are slow on average (mean response time 33.55 seconds) and highly variable in timing (response-time variance 1450.05, coefficient of variation 1.14). They have a moderate longest correct streak (15 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55). They have subject marks: S1=11, S2=30, S3=4, S5=5, S6=3 and overall missingness 8.68%."
bejy525,5,0,0,"The student answered 57 items with medium accuracy (0.70 proportion correct). Their responses are slow on average (mean response time 22.32 seconds) and highly variable in timing (response-time variance 496.16, coefficient of variation 1.00). They have a long longest correct streak (18 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.59). They have subject marks: S1=9, S2=28, S3=3, S5=5, S6=2 and overall missingness 0.00%."
xoky149,5,0,0,"The student answered 57 items with medium accuracy (0.67 proportion correct). Their responses are slow on average (mean response time 20.52 seconds) and highly variable in timing (response-time variance 489.20, coefficient of variation 1.08). They have a short longest correct streak (9 in a row) and a long longest incorrect streak (8 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.52). They have subject marks: S1=11, S2=28, S3=2, S5=4, S6=2 and overall missingness 0.00%."
huho039,6,3,0,"The student answered 57 items with medium accuracy (0.77 proportion correct). Their responses are slow on average (mean response time 24.46 seconds) and highly variable in timing (response-time variance 738.96, coefficient of variation 1.11). They have a short longest correct streak (11 in a row) and a long longest incorrect streak (8 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70). They have subject marks: S1=10, S2=27, S3=5, S5=7, S6=3 and overall missingness 0.00%."
fari709,2,6,1,"The student answered 57 items with low accuracy (0.28 proportion correct). Their responses are moderate on average (mean response time 17.35 seconds) and stable in timing (response-time variance 136.60, coefficient of variation 0.67). They have a short longest correct streak (4 in a row) and a long longest incorrect streak (23 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.12). They have subject marks: S1=5, S2=13, S3=0, S5=3, S6=0 and overall missingness 46.89%."
najy705,3,4,1,"The student answered 57 items with low accuracy (0.58 proportion correct). Their responses are moderate on average (mean response time 15.62 seconds) and stable in timing (response-time variance 57.20, coefficient of variation 0.48). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (14 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.43). They have subject marks: S1=8, S2=25, S3=2, S5=4, S6=2 and overall missingness 0.00%."
xamy888,5,2,1,"The student answered 57 items with low accuracy (0.65 proportion correct). Their responses are moderate on average (mean response time 15.67 seconds) and stable in timing (response-time variance 109.51, coefficient of variation 0.67). They have a short longest correct streak (8 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.43). They have subject marks: S1=11, S2=23, S3=4, S5=6, S6=3 and overall missingness 0.00%."
zufa556,2,6,1,"The student answered 57 items with low accuracy (0.21 proportion correct). Their responses are moderate on average (mean response time 17.22 seconds) and stable in timing (response-time variance 106.85, coefficient of variation 0.60). They have a short longest correct streak (4 in a row) and a long longest incorrect streak (16 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.09). They have subject marks: S1=1, S2=8, S3=0, S5=4, S6=0 and overall missingness 15.63%."
sefy975,3,4,1,"The student answered 57 items with low accuracy (0.54 proportion correct). Their responses are moderate on average (mean response time 17.37 seconds) and stable in timing (response-time variance 62.42, coefficient of variation 0.45). They have a moderate longest correct streak (12 in a row) and a long longest incorrect streak (9 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.39). They have subject marks: S1=11, S2=23, S3=4, S5=2, S6=2 and overall missingness 20.84%."
