IDCode,index,narrative_gmm_bic_best_label,narrative_best_label
paxi044,0,3,3
pivi588,1,5,5
weda047,2,6,6
zoka501,3,8,8
hyku415,4,0,0
syvi476,5,7,7
kuqy630,6,6,6
node314,7,3,3
mybu425,8,4,4
pyqy867,9,5,5
tywo507,10,2,2
nuhi137,11,7,7
vuho146,12,3,3
nysa238,13,3,3
kisa730,14,0,0
doza768,15,3,3
sapu497,16,3,3
dila385,17,4,4
pymu787,18,9,9
bejy525,19,0,0
bajo794,20,4,4
dugu064,21,9,9
hiwu738,22,6,6
zucy684,23,6,6
huxe147,24,3,3
woza563,25,3,3
neku787,26,4,4
navo572,27,3,3
gola051,28,8,8
pyzo535,29,3,3
xoky149,30,0,0
loxu319,31,6,6
qisu640,32,9,9
gery678,33,7,7
huho039,34,0,0
wozo826,35,3,3
soru820,36,3,3
fari709,37,1,1
qapo730,38,3,3
najy705,39,1,1
sejy814,40,6,6
laze716,41,4,4
kojo378,42,7,7
tepu554,43,2,2
dyva324,44,9,9
pusu302,45,3,3
xamy888,46,1,1
ninu744,47,7,7
punu537,48,8,8
zufa556,49,1,1
losy787,50,3,3
fuxa711,51,9,9
myzo000,52,0,0
jygo886,53,3,3
dyzo734,54,9,9
ciky680,55,6,6
nopo152,56,7,7
tivy194,57,7,7
biry098,58,3,3
tebo981,59,6,6
jyma323,60,0,0
cani065,61,5,5
puxi257,62,9,9
jemy201,63,8,8
woqa919,64,0,0
huze427,65,7,7
jaxe723,66,2,2
xamy676,67,9,9
lowy720,68,0,0
mixa281,69,9,9
sipy389,70,7,7
bube109,71,4,4
boqe999,72,2,2
guzo911,73,0,0
guxe800,74,0,0
dove442,75,4,4
zivi062,76,7,7
lury747,77,9,9
tuve726,78,0,0
vihu826,79,6,6
hata313,80,9,9
hoki309,81,9,9
kyzy131,82,9,9
syti148,83,4,4
syco853,84,6,6
sefy975,85,1,1
jese656,86,5,5
guge611,87,3,3
mesi806,88,3,3
sesi698,89,5,5
gopa505,90,0,0
duwi894,91,5,5
hasa034,92,0,0
pile112,93,5,5
sivi804,94,3,3
maho931,95,9,9
waho571,96,7,7
mowy859,97,3,3
rihi168,98,3,3
siry766,99,0,0
qefe646,100,9,9
zojo883,101,5,5
dero258,102,2,2
mika525,103,1,1
xohi599,104,2,2
tebe135,105,3,3
naso669,106,7,7
qecu035,107,6,6
zywy107,108,0,0
cave700,109,9,9
nupy082,110,6,6
hoge626,111,6,6
nivo041,112,6,6
karo919,113,9,9
vuhe805,114,0,0
kebi083,115,8,8
faly535,116,3,3
gelo627,117,9,9
vili771,118,5,5
katu927,119,4,4
xiza150,120,7,7
bevi590,121,2,2
huve181,122,9,9
fite050,123,2,2
nysu060,124,2,2
kaho190,125,0,0
lany944,126,2,2
maqu534,127,0,0
wuga870,128,0,0
wyva352,129,0,0
hime464,130,8,8
jexu775,131,4,4
