IDCode,gmm_bic_best_label,gmm_aic_best_label,narrative_best_label,narrative_text
paxi044,2,6,0,The student answered 57 items with a low number of correct answers (9 correct). Their responses are fast on average (mean response time 13.81 seconds) and highly variable in timing (response-time variance 517.59). They have a short longest correct streak (3 in a row) and a long longest incorrect streak (28 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.05). Overall subject performance is low (mean mark 3.00 across core subjects). The level of missing responses is moderate (Missing_total 6.95).
node314,5,5,0,The student answered 57 items with a low number of correct answers (36 correct). Their responses are slow on average (mean response time 27.08 seconds) and highly variable in timing (response-time variance 636.90). They have a moderate longest correct streak (14 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.46). Overall subject performance is low (mean mark 8.60 across core subjects). The level of missing responses is low (Missing_total 0.00).
vuho146,5,2,0,The student answered 57 items with a low number of correct answers (35 correct). Their responses are slow on average (mean response time 19.52 seconds) and highly variable in timing (response-time variance 338.27). They have a short longest correct streak (9 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.46). Overall subject performance is medium (mean mark 9.00 across core subjects). The level of missing responses is moderate (Missing_total 6.95).
nysa238,3,4,0,The student answered 57 items with a low number of correct answers (30 correct). Their responses are slow on average (mean response time 25.55 seconds) and highly variable in timing (response-time variance 579.71). They have a moderate longest correct streak (13 in a row) and a long longest incorrect streak (9 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.41). Overall subject performance is low (mean mark 7.60 across core subjects). The level of missing responses is moderate (Missing_total 1.74).
doza768,4,5,0,The student answered 57 items with a low number of correct answers (35 correct). Their responses are slow on average (mean response time 33.16 seconds) and highly variable in timing (response-time variance 786.72). They have a short longest correct streak (6 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.39). Overall subject performance is low (mean mark 8.00 across core subjects). The level of missing responses is low (Missing_total 0.00).
tywo507,0,1,1,The student answered 57 items with a high number of correct answers (47 correct). Their responses are fast on average (mean response time 12.15 seconds) and stable in timing (response-time variance 139.36). They have a moderate longest correct streak (17 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71). Overall subject performance is high (mean mark 11.60 across core subjects). The level of missing responses is low (Missing_total 0.00).
boqe999,0,1,1,The student answered 57 items with a high number of correct answers (48 correct). Their responses are fast on average (mean response time 13.78 seconds) and stable in timing (response-time variance 65.66). They have a long longest correct streak (36 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75). Overall subject performance is high (mean mark 11.40 across core subjects). The level of missing responses is low (Missing_total 0.00).
dero258,0,1,1,The student answered 57 items with a high number of correct answers (46 correct). Their responses are fast on average (mean response time 9.84 seconds) and stable in timing (response-time variance 66.83). They have a long longest correct streak (23 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71). Overall subject performance is high (mean mark 11.00 across core subjects). The level of missing responses is low (Missing_total 0.00).
xohi599,6,3,1,The student answered 57 items with a high number of correct answers (45 correct). Their responses are fast on average (mean response time 12.00 seconds) and stable in timing (response-time variance 93.05). They have a moderate longest correct streak (14 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.66). Overall subject performance is high (mean mark 11.00 across core subjects). The level of missing responses is low (Missing_total 0.00).
bevi590,0,1,1,The student answered 57 items with a high number of correct answers (46 correct). Their responses are fast on average (mean response time 8.30 seconds) and stable in timing (response-time variance 28.16). They have a moderate longest correct streak (15 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70). Overall subject performance is high (mean mark 10.80 across core subjects). The level of missing responses is low (Missing_total 0.00).
zoka501,5,0,2,The student answered 57 items with a medium number of correct answers (38 correct). Their responses are moderate on average (mean response time 15.80 seconds) and stable in timing (response-time variance 109.20). They have a moderate longest correct streak (15 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.50). Overall subject performance is low (mean mark 8.40 across core subjects). The level of missing responses is low (Missing_total 0.00).
mybu425,5,0,2,The student answered 57 items with a medium number of correct answers (39 correct). Their responses are moderate on average (mean response time 16.76 seconds) and highly variable in timing (response-time variance 505.04). They have a moderate longest correct streak (13 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55). Overall subject performance is medium (mean mark 9.80 across core subjects). The level of missing responses is low (Missing_total 0.00).
dila385,6,0,2,The student answered 57 items with a medium number of correct answers (41 correct). Their responses are moderate on average (mean response time 17.15 seconds) and moderately variable in timing (response-time variance 305.09). They have a moderate longest correct streak (13 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.61). Overall subject performance is medium (mean mark 10.60 across core subjects). The level of missing responses is low (Missing_total 0.00).
bajo794,6,3,2,The student answered 57 items with a medium number of correct answers (43 correct). Their responses are moderate on average (mean response time 18.01 seconds) and moderately variable in timing (response-time variance 199.35). They have a moderate longest correct streak (17 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.61). Overall subject performance is high (mean mark 10.80 across core subjects). The level of missing responses is low (Missing_total 0.00).
neku787,6,3,2,The student answered 57 items with a medium number of correct answers (44 correct). Their responses are moderate on average (mean response time 17.64 seconds) and moderately variable in timing (response-time variance 269.52). They have a moderate longest correct streak (12 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.64). Overall subject performance is medium (mean mark 10.60 across core subjects). The level of missing responses is low (Missing_total 0.00).
hyku415,4,5,3,The student answered 57 items with a medium number of correct answers (42 correct). Their responses are slow on average (mean response time 29.43 seconds) and highly variable in timing (response-time variance 1214.94). They have a long longest correct streak (25 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.61). Overall subject performance is medium (mean mark 9.60 across core subjects). The level of missing responses is low (Missing_total 0.00).
kisa730,4,5,3,The student answered 57 items with a medium number of correct answers (42 correct). Their responses are slow on average (mean response time 33.55 seconds) and highly variable in timing (response-time variance 1450.05). They have a moderate longest correct streak (15 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55). Overall subject performance is medium (mean mark 10.60 across core subjects). The level of missing responses is moderate (Missing_total 8.68).
bejy525,5,0,3,The student answered 57 items with a medium number of correct answers (40 correct). Their responses are slow on average (mean response time 22.32 seconds) and highly variable in timing (response-time variance 496.16). They have a long longest correct streak (18 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.59). Overall subject performance is medium (mean mark 9.40 across core subjects). The level of missing responses is low (Missing_total 0.00).
