K,covariance_type,bic
2,full,-1065670.9132975116
2,diag,-3541564.000320108
2,tied,-2896541.4593030685
2,spherical,-3452722.284755991
3,full,779784.7074077129
3,diag,-3629817.4253862407
3,tied,-2894120.3603652325
3,spherical,-3536775.09698625
4,full,2630729.896509029
4,diag,-3693030.1353182173
4,tied,-2890145.9464823008
4,spherical,-3609894.248808618
5,full,4482419.61749408
5,diag,-3734981.9752623825
5,tied,-2886028.964830997
5,spherical,-3656169.3751425403
6,full,6336867.494626033
6,diag,-3773102.91024927
6,tied,-2885754.317416887
6,spherical,-3706433.4795762966
7,full,8191324.318827542
7,diag,-3815561.738068768
7,tied,-2880422.71100761
7,spherical,-3760348.0011127978
8,full,10046521.081114199
8,diag,-3845611.976237317
8,tied,-2877721.416916865
8,spherical,-3793726.1201568404
9,full,11902657.907250378
9,diag,-3868605.053332943
9,tied,-2875559.889638299
9,spherical,-3822719.083221935
10,full,13759602.607129445
10,diag,-3893835.399037415
10,tied,-2871220.910708289
10,spherical,-3857429.9790179194
