K,covariance_type,bic
2,full,-1078748.7066575885
2,diag,-3635709.8325661207
2,tied,-2914003.010749848
2,spherical,-3545196.962465965
3,full,769619.691182307
3,diag,-3717199.465341966
3,tied,-2910270.967546479
3,spherical,-3626807.0574576193
4,full,2622065.0390805583
4,diag,-3785518.711520528
4,tied,-2908374.674984704
4,spherical,-3707045.2764707315
5,full,4475254.616211546
5,diag,-3832466.375657869
5,tied,-2903893.7324198936
5,spherical,-3758002.0564711704
6,full,6329379.541646022
6,diag,-3863846.504112995
6,tied,-2899985.0808302388
6,spherical,-3787133.27190927
7,full,8184965.507365883
7,diag,-3893250.084864836
7,tied,-2897646.5584057467
7,spherical,-3830479.8217623914
8,full,10039943.99738553
8,diag,-3917648.6874395898
8,tied,-2892226.2175617106
8,spherical,-3860107.443833794
9,full,11896544.603107963
9,diag,-3945291.3146229363
9,tied,-2889574.0704315305
9,spherical,-3890478.07998146
10,full,13753803.316619929
10,diag,-3961382.165808974
10,tied,-2887217.20614976
10,spherical,-3915076.234433632
