IDCode,index,narrative_gmm_bic_best_label,narrative_best_label
paxi044,0,0,0
pivi588,1,5,5
weda047,2,4,4
zoka501,3,2,2
hyku415,4,3,3
syvi476,5,6,6
kuqy630,6,7,7
node314,7,0,0
mybu425,8,2,2
pyqy867,9,5,5
tywo507,10,1,1
nuhi137,11,6,6
vuho146,12,0,0
nysa238,13,0,0
kisa730,14,3,3
doza768,15,0,0
sapu497,16,0,0
dila385,17,2,2
pymu787,18,8,8
bejy525,19,3,3
bajo794,20,2,2
dugu064,21,8,8
hiwu738,22,4,4
zucy684,23,7,7
huxe147,24,0,0
woza563,25,0,0
neku787,26,2,2
navo572,27,0,0
gola051,28,9,9
pyzo535,29,0,0
xoky149,30,3,3
loxu319,31,7,7
qisu640,32,8,8
gery678,33,6,6
huho039,34,3,3
wozo826,35,0,0
soru820,36,0,0
fari709,37,8,8
qapo730,38,0,0
najy705,39,8,8
sejy814,40,4,4
laze716,41,2,2
kojo378,42,6,6
tepu554,43,5,5
dyva324,44,8,8
pusu302,45,0,0
xamy888,46,8,8
ninu744,47,6,6
punu537,48,9,9
zufa556,49,8,8
losy787,50,0,0
fuxa711,51,8,8
myzo000,52,3,3
jygo886,53,0,0
dyzo734,54,0,0
ciky680,55,7,7
nopo152,56,6,6
tivy194,57,6,6
biry098,58,0,0
tebo981,59,4,4
jyma323,60,9,9
cani065,61,2,2
puxi257,62,0,0
jemy201,63,9,9
woqa919,64,3,3
huze427,65,6,6
jaxe723,66,5,5
xamy676,67,8,8
lowy720,68,3,3
mixa281,69,8,8
sipy389,70,0,0
bube109,71,2,2
boqe999,72,1,1
guzo911,73,3,3
guxe800,74,3,3
dove442,75,2,2
zivi062,76,6,6
lury747,77,8,8
tuve726,78,3,3
vihu826,79,7,7
hata313,80,8,8
hoki309,81,8,8
kyzy131,82,8,8
syti148,83,2,2
syco853,84,7,7
sefy975,85,8,8
jese656,86,5,5
guge611,87,0,0
mesi806,88,0,0
sesi698,89,5,5
gopa505,90,3,3
duwi894,91,5,5
hasa034,92,3,3
pile112,93,5,5
sivi804,94,0,0
maho931,95,0,0
waho571,96,6,6
mowy859,97,0,0
rihi168,98,0,0
siry766,99,3,3
qefe646,100,8,8
zojo883,101,5,5
dero258,102,1,1
mika525,103,8,8
xohi599,104,1,1
tebe135,105,0,0
naso669,106,6,6
qecu035,107,7,7
zywy107,108,3,3
cave700,109,8,8
nupy082,110,4,4
hoge626,111,4,4
nivo041,112,7,7
karo919,113,8,8
vuhe805,114,3,3
kebi083,115,9,9
faly535,116,0,0
gelo627,117,6,6
vili771,118,5,5
katu927,119,2,2
xiza150,120,6,6
bevi590,121,1,1
huve181,122,8,8
fite050,123,1,1
nysu060,124,1,1
kaho190,125,3,3
lany944,126,1,1
maqu534,127,3,3
wuga870,128,3,3
wyva352,129,3,3
hime464,130,2,2
jexu775,131,2,2
tuga736,132,6,6
hyfe498,133,6,6
bomo360,134,5,5
lomo204,135,5,5
mipe544,136,9,9
hufy497,137,1,1
rapo919,138,9,9
gata076,139,0,0
muvo194,140,0,0
cywo537,141,2,2
xamy327,142,0,0
cogu074,143,7,7
rapo615,144,0,0
zady580,145,0,0
nujo284,146,3,3
syzu625,147,3,3
myte214,148,3,3
tyzo440,149,0,0
vyzo298,150,9,9
hiwu589,151,3,3
sazy810,152,5,5
turi097,153,3,3
foji729,154,9,9
dexe201,155,5,5
dosu709,156,3,3
doxe392,157,0,0
culu497,158,3,3
lije367,159,7,7
vice024,160,1,1
kapy740,161,7,7
vudi262,162,6,6
tuza510,163,8,8
tubo945,164,4,4
bofi323,165,3,3
zeji633,166,0,0
bowo488,167,0,0
pipo687,168,0,0
core934,169,3,3
dedu084,170,0,0
lowa532,171,0,0
zuha759,172,0,0
qafu966,173,0,0
lobo127,174,3,3
homa046,175,0,0
keno764,176,8,8
habe142,177,3,3
joti731,178,1,1
reve265,179,9,9
cyca115,180,4,4
rawo522,181,5,5
pogi169,182,7,7
vepi727,183,3,3
risy585,184,8,8
fefu774,185,1,1
wyxo615,186,5,5
ciby707,187,7,7
xuvy948,188,5,5
ravy196,189,5,5
loge702,190,2,2
viry492,191,3,3
gowa049,192,5,5
vyva107,193,2,2
duxo262,194,5,5
peto053,195,4,4
difi858,196,4,4
xoru423,197,3,3
wizy437,198,5,5
kuge219,199,5,5
hazu473,200,3,3
gono087,201,3,3
vury347,202,2,2
copo281,203,6,6
heda014,204,5,5
powu461,205,7,7
peqa279,206,5,5
lufy687,207,8,8
koze985,208,7,7
hadi890,209,2,2
recu163,210,7,7
xyzi642,211,7,7
nejy388,212,0,0
tezy480,213,9,9
nawu690,214,2,2
mofe780,215,0,0
nily317,216,0,0
roho333,217,0,0
xime971,218,8,8
muqo157,219,0,0
riby296,220,2,2
pala257,221,3,3
tuby409,222,9,9
hoxo855,223,0,0
qixy634,224,7,7
niri091,225,2,2
lazi600,226,5,5
qedo478,227,8,8
ruhu758,228,7,7
cima563,229,7,7
lyzy104,230,3,3
xafy802,231,3,3
bacy598,232,6,6
kexi927,233,6,6
cumo221,234,2,2
kami789,235,8,8
zoko875,236,5,5
sina926,237,9,9
fise899,238,3,3
cija437,239,1,1
manu258,240,3,3
zuwa573,241,2,2
joxi410,242,0,0
muta539,243,1,1
reqy562,244,7,7
doxe492,245,7,7
gylu244,246,8,8
maxy370,247,5,5
ryko512,248,7,7
kula014,249,7,7
jeqy595,250,8,8
guva627,251,5,5
lohy238,252,5,5
cobi870,253,8,8
giki066,254,1,1
hywy001,255,9,9
feji918,256,7,7
luli756,257,2,2
wumu083,258,7,7
cyga680,259,1,1
buvy316,260,3,3
rejy122,261,7,7
dusi300,262,7,7
howe436,263,7,7
ropi792,264,1,1
jemy300,265,1,1
qexo432,266,2,2
kyso927,267,4,4
cozi663,268,6,6
vani542,269,9,9
kaxu871,270,5,5
moku835,271,1,1
cahe192,272,1,1
feso129,273,1,1
tufa140,274,1,1
zigi489,275,6,6
dahi696,276,1,1
quhe482,277,6,6
taxa827,278,9,9
vuga321,279,2,2
nycu731,280,1,1
raxy329,281,9,9
nyfe489,282,5,5
texu966,283,6,6
kifo712,284,6,6
pajo050,285,3,3
hefy659,286,6,6
tujy672,287,1,1
cyfe247,288,6,6
xori482,289,9,9
raje697,290,7,7
biwu043,291,8,8
cylu852,292,3,3
fode209,293,3,3
woju333,294,0,0
saca329,295,5,5
jizi110,296,2,2
vyxi492,297,4,4
xehy451,298,3,3
feke878,299,0,0
rozu771,300,3,3
duvi856,301,5,5
nexu635,302,2,2
cozi454,303,0,0
saze236,304,3,3
quzy338,305,3,3
lula174,306,5,5
buzo685,307,8,8
huby293,308,7,7
dyhi182,309,3,3
tatu362,310,7,7
bene344,311,2,2
keho061,312,8,8
vyxy108,313,2,2
zusa663,314,5,5
nehe056,315,4,4
myve834,316,4,4
tyhy481,317,0,0
sati762,318,2,2
biku776,319,8,8
wify666,320,5,5
sony276,321,5,5
tusi463,322,2,2
baco446,323,8,8
coni238,324,2,2
tuvu087,325,8,8
vuci475,326,8,8
seto741,327,6,6
jewe923,328,2,2
jaqy340,329,2,2
pubu440,330,6,6
gyjy255,331,2,2
zyte492,332,4,4
ruco451,333,8,8
loda300,334,9,9
moly152,335,8,8
cuba307,336,2,2
jupo405,337,8,8
xuke183,338,9,9
mado232,339,0,0
zafy372,340,5,5
gyly160,341,6,6
tapi010,342,6,6
gelu604,343,1,1
qiqi041,344,8,8
ratu271,345,9,9
kyqu130,346,1,1
lucu601,347,1,1
kama922,348,2,2
zoma564,349,9,9
puju088,350,3,3
jufy997,351,7,7
wyja070,352,2,2
dasy955,353,9,9
wyki565,354,6,6
garu074,355,1,1
qyxy586,356,5,5
kegi864,357,4,4
gyge774,358,9,9
vyda893,359,6,6
vuvy608,360,5,5
vizo712,361,9,9
