IDCode,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,narrative_best_label,narrative_text
xyzi642,1,2,2,0,"The student answered 57 items with high accuracy (87.72% proportion correct). Their responses are slow on average (mean response time 25.92 seconds) and highly variable in timing (response-time variance 688.54, coefficient of variation 1.01). They have a long longest correct streak (30 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.80)."
cima563,1,2,1,0,"The student answered 57 items with high accuracy (87.72% proportion correct). Their responses are slow on average (mean response time 26.35 seconds) and highly variable in timing (response-time variance 375.23, coefficient of variation 0.74). They have a long longest correct streak (29 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.80)."
vane668,1,2,2,0,"The student answered 57 items with high accuracy (87.72% proportion correct). Their responses are slow on average (mean response time 27.21 seconds) and highly variable in timing (response-time variance 701.10, coefficient of variation 0.97). They have a long longest correct streak (23 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.80)."
lije367,5,7,2,0,"The student answered 57 items with high accuracy (91.23% proportion correct). Their responses are slow on average (mean response time 22.93 seconds) and highly variable in timing (response-time variance 924.50, coefficient of variation 1.33). They have a long longest correct streak (34 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.84)."
syco853,5,7,2,0,"The student answered 57 items with high accuracy (87.72% proportion correct). Their responses are slow on average (mean response time 28.78 seconds) and highly variable in timing (response-time variance 936.98, coefficient of variation 1.06). They have a long longest correct streak (23 in a row) and a short longest incorrect streak (1 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.79)."
vabe169,1,2,1,1,"The student answered 57 items with high accuracy (87.72% proportion correct). Their responses are moderate on average (mean response time 15.13 seconds) and moderately variable in timing (response-time variance 158.80, coefficient of variation 0.83). They have a long longest correct streak (26 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.80)."
jide437,1,2,1,1,"The student answered 57 items with high accuracy (89.47% proportion correct). Their responses are moderate on average (mean response time 17.29 seconds) and moderately variable in timing (response-time variance 234.23, coefficient of variation 0.89). They have a long longest correct streak (20 in a row) and a short longest incorrect streak (1 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.80)."
nasi298,1,2,1,1,"The student answered 57 items with high accuracy (87.72% proportion correct). Their responses are moderate on average (mean response time 16.11 seconds) and moderately variable in timing (response-time variance 251.74, coefficient of variation 0.98). They have a long longest correct streak (31 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.79)."
koqa816,1,2,1,1,"The student answered 57 items with high accuracy (94.74% proportion correct). Their responses are moderate on average (mean response time 16.29 seconds) and moderately variable in timing (response-time variance 167.68, coefficient of variation 0.80). They have a long longest correct streak (33 in a row) and a short longest incorrect streak (1 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.89)."
lohy238,1,2,1,1,"The student answered 57 items with high accuracy (87.72% proportion correct). Their responses are moderate on average (mean response time 15.93 seconds) and highly variable in timing (response-time variance 409.30, coefficient of variation 1.27). They have a long longest correct streak (25 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.82)."
lany944,1,2,1,2,"The student answered 57 items with high accuracy (91.23% proportion correct). Their responses are fast on average (mean response time 10.48 seconds) and stable in timing (response-time variance 62.83, coefficient of variation 0.76). They have a long longest correct streak (44 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.88)."
posy537,1,2,1,2,"The student answered 57 items with high accuracy (85.96% proportion correct). Their responses are fast on average (mean response time 11.43 seconds) and stable in timing (response-time variance 113.63, coefficient of variation 0.93). They have a long longest correct streak (23 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75)."
qoha890,1,2,1,2,"The student answered 57 items with high accuracy (94.74% proportion correct). Their responses are fast on average (mean response time 13.18 seconds) and stable in timing (response-time variance 117.09, coefficient of variation 0.82). They have a long longest correct streak (30 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.93)."
joti731,1,2,1,2,"The student answered 57 items with high accuracy (87.72% proportion correct). Their responses are fast on average (mean response time 12.34 seconds) and stable in timing (response-time variance 114.39, coefficient of variation 0.87). They have a long longest correct streak (24 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.79)."
muta539,1,2,1,2,"The student answered 57 items with high accuracy (98.25% proportion correct). Their responses are fast on average (mean response time 13.25 seconds) and stable in timing (response-time variance 107.27, coefficient of variation 0.78). They have a long longest correct streak (47 in a row) and a short longest incorrect streak (1 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.96)."
puca767,3,0,3,3,"The student answered 57 items with medium accuracy (73.68% proportion correct). Their responses are slow on average (mean response time 20.40 seconds) and highly variable in timing (response-time variance 389.29, coefficient of variation 0.97). They have a moderate longest correct streak (13 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
vuzo690,5,0,2,3,"The student answered 57 items with medium accuracy (70.18% proportion correct). Their responses are slow on average (mean response time 22.27 seconds) and highly variable in timing (response-time variance 712.24, coefficient of variation 1.20). They have a moderate longest correct streak (12 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
rozu771,5,8,2,3,"The student answered 57 items with medium accuracy (66.67% proportion correct). Their responses are slow on average (mean response time 22.38 seconds) and highly variable in timing (response-time variance 957.65, coefficient of variation 1.38). They have a moderate longest correct streak (14 in a row) and a long longest incorrect streak (12 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.57)."
zywy107,0,5,3,3,"The student answered 57 items with medium accuracy (66.67% proportion correct). Their responses are slow on average (mean response time 20.81 seconds) and highly variable in timing (response-time variance 414.53, coefficient of variation 0.98). They have a short longest correct streak (11 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.52)."
buvy316,3,0,3,3,"The student answered 57 items with medium accuracy (75.44% proportion correct). Their responses are slow on average (mean response time 20.62 seconds) and highly variable in timing (response-time variance 368.25, coefficient of variation 0.93). They have a short longest correct streak (10 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.57)."
niri091,0,0,3,4,"The student answered 57 items with medium accuracy (70.18% proportion correct). Their responses are moderate on average (mean response time 19.03 seconds) and highly variable in timing (response-time variance 448.18, coefficient of variation 1.11). They have a moderate longest correct streak (16 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.54)."
mybu425,0,8,3,4,"The student answered 57 items with medium accuracy (68.42% proportion correct). Their responses are moderate on average (mean response time 16.76 seconds) and highly variable in timing (response-time variance 505.04, coefficient of variation 1.34). They have a moderate longest correct streak (13 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
ryzo168,3,9,3,4,"The student answered 57 items with medium accuracy (73.68% proportion correct). Their responses are moderate on average (mean response time 14.71 seconds) and moderately variable in timing (response-time variance 156.00, coefficient of variation 0.85). They have a moderate longest correct streak (16 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
loby351,0,9,3,4,"The student answered 57 items with medium accuracy (71.93% proportion correct). Their responses are moderate on average (mean response time 16.74 seconds) and moderately variable in timing (response-time variance 159.30, coefficient of variation 0.75). They have a moderate longest correct streak (17 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
jexu775,3,0,3,4,"The student answered 57 items with medium accuracy (73.68% proportion correct). Their responses are moderate on average (mean response time 18.13 seconds) and moderately variable in timing (response-time variance 251.84, coefficient of variation 0.88). They have a moderate longest correct streak (16 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.61)."
weru214,3,9,1,5,"The student answered 57 items with medium accuracy (77.19% proportion correct). Their responses are fast on average (mean response time 14.31 seconds) and stable in timing (response-time variance 108.65, coefficient of variation 0.73). They have a moderate longest correct streak (12 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
foji729,3,9,3,5,"The student answered 57 items with medium accuracy (73.68% proportion correct). Their responses are fast on average (mean response time 13.37 seconds) and stable in timing (response-time variance 107.37, coefficient of variation 0.77). They have a moderate longest correct streak (14 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
qosy291,3,9,1,5,"The student answered 57 items with medium accuracy (77.19% proportion correct). Their responses are fast on average (mean response time 10.45 seconds) and stable in timing (response-time variance 66.76, coefficient of variation 0.78). They have a moderate longest correct streak (13 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
taxa827,3,9,1,5,"The student answered 57 items with medium accuracy (77.19% proportion correct). Their responses are fast on average (mean response time 9.41 seconds) and stable in timing (response-time variance 85.05, coefficient of variation 0.98). They have a moderate longest correct streak (14 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
punu537,0,5,3,5,"The student answered 57 items with medium accuracy (66.67% proportion correct). Their responses are fast on average (mean response time 12.13 seconds) and stable in timing (response-time variance 95.69, coefficient of variation 0.81). They have a moderate longest correct streak (12 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.54)."
johy783,4,3,0,6,"The student answered 57 items with low accuracy (49.12% proportion correct). Their responses are slow on average (mean response time 21.40 seconds) and highly variable in timing (response-time variance 473.97, coefficient of variation 1.02). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.30)."
vexo008,4,3,3,6,"The student answered 57 items with low accuracy (54.39% proportion correct). Their responses are slow on average (mean response time 20.65 seconds) and highly variable in timing (response-time variance 398.18, coefficient of variation 0.97). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.36)."
