IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
paxi044,0,1,1,1
pivi588,1,8,8,8
weda047,2,0,0,0
zoka501,3,2,2,2
hyku415,4,4,4,4
syvi476,5,1,1,1
kuqy630,6,4,4,4
node314,7,4,4,4
mybu425,8,2,2,2
pyqy867,9,2,2,2
tywo507,10,0,0,0
nuhi137,11,1,1,1
vuho146,12,4,4,4
nysa238,13,5,5,5
kisa730,14,4,4,4
doza768,15,4,4,4
sapu497,16,4,4,4
dila385,17,2,2,2
pymu787,18,6,6,6
bejy525,19,4,4,4
bajo794,20,2,2,2
dugu064,21,6,6,6
hiwu738,22,0,0,0
zucy684,23,4,4,4
huxe147,24,4,4,4
woza563,25,4,4,4
neku787,26,2,2,2
navo572,27,4,4,4
gola051,28,0,0,0
pyzo535,29,5,5,5
xoky149,30,4,4,4
loxu319,31,7,7,7
qisu640,32,6,6,6
gery678,33,1,1,1
huho039,34,4,4,4
wozo826,35,5,5,5
soru820,36,5,5,5
fari709,37,6,6,6
qapo730,38,5,5,5
najy705,39,6,6,6
sejy814,40,0,0,0
laze716,41,2,2,2
kojo378,42,1,1,1
tepu554,43,2,2,2
dyva324,44,6,6,6
pusu302,45,5,5,5
xamy888,46,2,2,2
ninu744,47,1,1,1
punu537,48,0,0,0
zufa556,49,6,6,6
losy787,50,5,5,5
fuxa711,51,6,6,6
myzo000,52,4,4,4
jygo886,53,5,5,5
dyzo734,54,1,1,1
ciky680,55,4,4,4
nopo152,56,1,1,1
tivy194,57,0,0,0
biry098,58,5,5,5
tebo981,59,0,0,0
jyma323,60,0,0,0
cani065,61,2,2,2
puxi257,62,1,1,1
jemy201,63,0,0,0
woqa919,64,4,4,4
huze427,65,1,1,1
jaxe723,66,2,2,2
xamy676,67,2,2,2
lowy720,68,4,4,4
mixa281,69,6,6,6
sipy389,70,5,5,5
bube109,71,2,2,2
boqe999,72,0,0,0
guzo911,73,4,4,4
guxe800,74,4,4,4
dove442,75,2,2,2
zivi062,76,0,0,0
lury747,77,6,6,6
tuve726,78,4,4,4
vihu826,79,4,4,4
hata313,80,2,2,2
hoki309,81,6,6,6
kyzy131,82,6,6,6
syti148,83,2,2,2
syco853,84,7,7,7
sefy975,85,6,6,6
jese656,86,2,2,2
guge611,87,5,5,5
mesi806,88,4,4,4
sesi698,89,2,2,2
gopa505,90,4,4,4
duwi894,91,2,2,2
hasa034,92,4,4,4
pile112,93,8,8,8
sivi804,94,4,4,4
maho931,95,1,1,1
waho571,96,4,4,4
mowy859,97,5,5,5
rihi168,98,5,5,5
siry766,99,4,4,4
qefe646,100,6,6,6
zojo883,101,8,8,8
dero258,102,0,0,0
mika525,103,2,2,2
xohi599,104,0,0,0
tebe135,105,4,4,4
naso669,106,1,1,1
qecu035,107,4,4,4
zywy107,108,4,4,4
cave700,109,6,6,6
nupy082,110,0,0,0
hoge626,111,3,3,3
nivo041,112,4,4,4
karo919,113,6,6,6
vuhe805,114,4,4,4
kebi083,115,0,0,0
faly535,116,5,5,5
gelo627,117,1,1,1
vili771,118,2,2,2
katu927,119,2,2,2
xiza150,120,1,1,1
bevi590,121,0,0,0
huve181,122,6,6,6
fite050,123,0,0,0
nysu060,124,0,0,0
kaho190,125,4,4,4
lany944,126,3,3,3
maqu534,127,4,4,4
wuga870,128,4,4,4
wyva352,129,4,4,4
hime464,130,2,2,2
jexu775,131,2,2,2
tuga736,132,0,0,0
