IDCode,gmm_bic_best_label,gmm_aic_best_label,narrative_best_label,narrative_text
nasi298,1,2,0,"The student answered 57 items with high accuracy (0.88 proportion correct). Their responses are moderate on average (mean response time 16.11 seconds) and moderately variable in timing (response-time variance 251.74, coefficient of variation 0.98). They have a long longest correct streak (31 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.79)."
wify666,1,2,0,"The student answered 57 items with high accuracy (0.89 proportion correct). Their responses are moderate on average (mean response time 18.74 seconds) and moderately variable in timing (response-time variance 186.24, coefficient of variation 0.73). They have a long longest correct streak (21 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.82)."
lula174,1,2,0,"The student answered 57 items with high accuracy (0.86 proportion correct). Their responses are moderate on average (mean response time 16.42 seconds) and moderately variable in timing (response-time variance 156.72, coefficient of variation 0.76). They have a long longest correct streak (26 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75)."
caro445,3,6,0,"The student answered 57 items with high accuracy (0.79 proportion correct). Their responses are moderate on average (mean response time 17.98 seconds) and moderately variable in timing (response-time variance 213.60, coefficient of variation 0.81). They have a long longest correct streak (22 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.68)."
sazy810,3,6,0,"The student answered 57 items with high accuracy (0.81 proportion correct). Their responses are moderate on average (mean response time 15.72 seconds) and moderately variable in timing (response-time variance 192.67, coefficient of variation 0.88). They have a long longest correct streak (18 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.68)."
muqo157,4,3,1,"The student answered 57 items with low accuracy (0.56 proportion correct). Their responses are slow on average (mean response time 21.71 seconds) and highly variable in timing (response-time variance 492.31, coefficient of variation 1.02). They have a short longest correct streak (7 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.38)."
vuho146,4,5,1,"The student answered 57 items with low accuracy (0.61 proportion correct). Their responses are slow on average (mean response time 19.52 seconds) and highly variable in timing (response-time variance 338.27, coefficient of variation 0.94). They have a short longest correct streak (9 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.46)."
qapo730,4,4,1,"The student answered 57 items with low accuracy (0.56 proportion correct). Their responses are slow on average (mean response time 20.83 seconds) and moderately variable in timing (response-time variance 263.37, coefficient of variation 0.78). They have a short longest correct streak (11 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.41)."
faly535,4,4,1,"The student answered 57 items with low accuracy (0.60 proportion correct). Their responses are slow on average (mean response time 21.58 seconds) and moderately variable in timing (response-time variance 277.12, coefficient of variation 0.77). They have a short longest correct streak (11 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.41)."
sulo956,0,5,1,"The student answered 57 items with low accuracy (0.65 proportion correct). Their responses are slow on average (mean response time 20.42 seconds) and highly variable in timing (response-time variance 428.06, coefficient of variation 1.01). They have a short longest correct streak (11 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.48)."
wuga870,0,0,2,"The student answered 57 items with medium accuracy (0.70 proportion correct). Their responses are slow on average (mean response time 22.30 seconds) and highly variable in timing (response-time variance 419.95, coefficient of variation 0.92). They have a short longest correct streak (9 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.52)."
zywy107,0,5,2,"The student answered 57 items with medium accuracy (0.67 proportion correct). Their responses are slow on average (mean response time 20.81 seconds) and highly variable in timing (response-time variance 414.53, coefficient of variation 0.98). They have a short longest correct streak (11 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.52)."
puca767,3,0,2,"The student answered 57 items with medium accuracy (0.74 proportion correct). Their responses are slow on average (mean response time 20.40 seconds) and highly variable in timing (response-time variance 389.29, coefficient of variation 0.97). They have a moderate longest correct streak (13 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
culu497,0,0,2,"The student answered 57 items with medium accuracy (0.70 proportion correct). Their responses are slow on average (mean response time 21.12 seconds) and highly variable in timing (response-time variance 408.46, coefficient of variation 0.96). They have a moderate longest correct streak (16 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.57)."
lusi512,0,5,2,"The student answered 57 items with medium accuracy (0.68 proportion correct). Their responses are slow on average (mean response time 23.41 seconds) and highly variable in timing (response-time variance 346.85, coefficient of variation 0.80). They have a moderate longest correct streak (12 in a row) and a long longest incorrect streak (8 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.57)."
xime971,4,4,3,"The student answered 57 items with low accuracy (0.49 proportion correct). Their responses are moderate on average (mean response time 14.67 seconds) and moderately variable in timing (response-time variance 172.65, coefficient of variation 0.90). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (17 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.34)."
cupe992,2,1,3,"The student answered 57 items with low accuracy (0.32 proportion correct). Their responses are moderate on average (mean response time 17.96 seconds) and moderately variable in timing (response-time variance 229.44, coefficient of variation 0.84). They have a short longest correct streak (7 in a row) and a long longest incorrect streak (11 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.18)."
fuxa711,4,4,3,"The student answered 57 items with low accuracy (0.58 proportion correct). Their responses are moderate on average (mean response time 17.50 seconds) and moderately variable in timing (response-time variance 192.22, coefficient of variation 0.79). They have a short longest correct streak (11 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.41)."
kyzy131,4,4,3,"The student answered 57 items with low accuracy (0.53 proportion correct). Their responses are moderate on average (mean response time 18.32 seconds) and moderately variable in timing (response-time variance 228.06, coefficient of variation 0.82). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (7 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.34)."
viba035,4,4,3,"The student answered 57 items with low accuracy (0.56 proportion correct). Their responses are moderate on average (mean response time 17.99 seconds) and moderately variable in timing (response-time variance 161.07, coefficient of variation 0.71). They have a moderate longest correct streak (12 in a row) and a long longest incorrect streak (10 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.41)."
jise415,1,2,4,"The student answered 57 items with high accuracy (0.88 proportion correct). Their responses are fast on average (mean response time 11.45 seconds) and stable in timing (response-time variance 133.69, coefficient of variation 1.01). They have a long longest correct streak (26 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.79)."
posy537,1,2,4,"The student answered 57 items with high accuracy (0.86 proportion correct). Their responses are fast on average (mean response time 11.43 seconds) and stable in timing (response-time variance 113.63, coefficient of variation 0.93). They have a long longest correct streak (23 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75)."
dahi696,1,6,4,"The student answered 57 items with high accuracy (0.82 proportion correct). Their responses are fast on average (mean response time 9.65 seconds) and stable in timing (response-time variance 83.24, coefficient of variation 0.95). They have a long longest correct streak (31 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71)."
nexy906,1,2,4,"The student answered 57 items with high accuracy (0.86 proportion correct). Their responses are fast on average (mean response time 9.38 seconds) and stable in timing (response-time variance 106.38, coefficient of variation 1.10). They have a long longest correct streak (20 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75)."
giki066,1,2,4,"The student answered 57 items with high accuracy (0.93 proportion correct). Their responses are fast on average (mean response time 8.96 seconds) and stable in timing (response-time variance 137.63, coefficient of variation 1.31). They have a long longest correct streak (31 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.89)."
buny935,3,9,5,"The student answered 57 items with medium accuracy (0.75 proportion correct). Their responses are fast on average (mean response time 13.11 seconds) and stable in timing (response-time variance 116.85, coefficient of variation 0.82). They have a long longest correct streak (21 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.64)."
kebi083,3,9,5,"The student answered 57 items with medium accuracy (0.75 proportion correct). Their responses are fast on average (mean response time 10.98 seconds) and stable in timing (response-time variance 68.70, coefficient of variation 0.76). They have a moderate longest correct streak (17 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.59)."
kewi488,0,9,5,"The student answered 57 items with medium accuracy (0.70 proportion correct). Their responses are fast on average (mean response time 11.94 seconds) and stable in timing (response-time variance 116.18, coefficient of variation 0.90). They have a short longest correct streak (11 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
dasy955,0,9,5,"The student answered 57 items with medium accuracy (0.70 proportion correct). Their responses are fast on average (mean response time 13.76 seconds) and stable in timing (response-time variance 118.45, coefficient of variation 0.79). They have a moderate longest correct streak (14 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.52)."
qosy291,3,9,5,"The student answered 57 items with medium accuracy (0.77 proportion correct). Their responses are fast on average (mean response time 10.45 seconds) and stable in timing (response-time variance 66.76, coefficient of variation 0.78). They have a moderate longest correct streak (13 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
hoge626,1,2,6,"The student answered 57 items with high accuracy (0.89 proportion correct). Their responses are fast on average (mean response time 13.26 seconds) and moderately variable in timing (response-time variance 178.72, coefficient of variation 1.01). They have a long longest correct streak (25 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.84)."
kegi864,1,2,6,"The student answered 57 items with high accuracy (0.88 proportion correct). Their responses are fast on average (mean response time 10.95 seconds) and moderately variable in timing (response-time variance 169.09, coefficient of variation 1.19). They have a long longest correct streak (22 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.79)."
difi858,3,6,6,"The student answered 57 items with high accuracy (0.81 proportion correct). Their responses are fast on average (mean response time 13.93 seconds) and moderately variable in timing (response-time variance 232.69, coefficient of variation 1.09). They have a long longest correct streak (20 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71)."
weda047,1,6,6,"The student answered 57 items with high accuracy (0.84 proportion correct). Their responses are fast on average (mean response time 12.28 seconds) and moderately variable in timing (response-time variance 193.99, coefficient of variation 1.13). They have a long longest correct streak (26 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.73)."
pufe463,1,2,6,"The student answered 57 items with high accuracy (0.89 proportion correct). Their responses are fast on average (mean response time 10.58 seconds) and moderately variable in timing (response-time variance 193.90, coefficient of variation 1.32). They have a long longest correct streak (18 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.84)."
reqy562,1,2,7,"The student answered 57 items with high accuracy (0.89 proportion correct). Their responses are slow on average (mean response time 20.81 seconds) and moderately variable in timing (response-time variance 215.30, coefficient of variation 0.71). They have a long longest correct streak (26 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.80)."
feji918,3,0,7,"The student answered 57 items with high accuracy (0.79 proportion correct). Their responses are slow on average (mean response time 22.46 seconds) and highly variable in timing (response-time variance 483.72, coefficient of variation 0.98). They have a long longest correct streak (34 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70)."
rejy122,3,6,7,"The student answered 57 items with high accuracy (0.81 proportion correct). Their responses are slow on average (mean response time 22.36 seconds) and highly variable in timing (response-time variance 413.10, coefficient of variation 0.91). They have a long longest correct streak (26 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71)."
dusi300,3,6,7,"The student answered 57 items with high accuracy (0.82 proportion correct). Their responses are slow on average (mean response time 20.82 seconds) and highly variable in timing (response-time variance 421.74, coefficient of variation 0.99). They have a moderate longest correct streak (13 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.73)."
ruhu758,1,6,7,"The student answered 57 items with high accuracy (0.84 proportion correct). Their responses are slow on average (mean response time 20.51 seconds) and moderately variable in timing (response-time variance 220.97, coefficient of variation 0.72). They have a long longest correct streak (23 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71)."
vyxy108,0,5,8,"The student answered 57 items with medium accuracy (0.67 proportion correct). Their responses are moderate on average (mean response time 18.58 seconds) and moderately variable in timing (response-time variance 252.22, coefficient of variation 0.85). They have a moderate longest correct streak (15 in a row) and a long longest incorrect streak (7 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
