K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
2,full,-68684.6416338025,-70660.4867553711,-64980.96675537095,0.4791427552700043,498.5713363811231,0.7995475660206568
2,diag,-65046.72582457183,-65393.89167022705,-65364.69606583145,0.4791427552700043,498.5713363811231,0.7995475660206568
2,tied,-65216.95652844918,-66292.7420501709,-65848.86836596037,0.4791427552700043,498.5713363811231,0.7995475660206568
2,spherical,-51550.058687465906,-51734.356605529785,-51726.681149140335,0.4791427552700043,498.5713363811231,0.7995475660206568
3,full,-71085.24953588503,-74051.16021728516,inf,0.33411267399787903,386.73755894491154,1.3017343934954495
3,diag,-65910.02099797285,-66432.91276550293,-66360.42001187975,0.3346327245235443,402.7881347187453,1.1664730339954705
3,tied,-66357.68711021253,-67523.47859191895,-66960.93313737349,0.3346327245235443,402.7881347187453,1.1664730339954705
3,spherical,-53916.66737178173,-54195.257247924805,-54177.040687415254,0.3346708118915558,402.82990674596556,1.1630097571279145
4,full,-72112.50714194703,-76068.48338317871,inf,0.4065292477607727,433.59220501359573,1.0328291517919024
4,diag,-66156.9698655267,-66855.58755493164,-66712.25243428821,0.4045022130012512,430.865840861808,1.0411875218569233
4,tied,-67522.49976900226,-68778.29721069336,-68069.30955637236,0.33261430263519287,313.20503066840917,1.3028951352073819
4,spherical,-56270.92364673476,-56643.80548095703,-56609.70303106839,0.4050128757953644,432.7591185129406,1.0366070654649517
5,full,-72275.49759713013,-77221.53939819336,inf,0.3811627924442291,366.8255750101512,1.2089678195989644
5,diag,-67003.10276933543,-67877.44638061523,-67625.51866977186,0.3547108769416809,359.1848825962712,1.0529910194292413
5,tied,-68902.9449351162,-70248.74833679199,-69357.6672557109,0.3562329411506653,362.9112879328274,1.1853935698435543
5,spherical,-57869.56071239824,-58336.73450469971,-58280.57525411423,0.3552047610282898,360.8397617793037,1.0497718778519325
6,full,-72026.23304743042,-77962.3404083252,inf,0.33840566873550415,319.37388537187763,1.2555713139014582
6,diag,-67482.95703239708,-68533.02656555176,-68118.79976142805,0.3709869980812073,313.7030907269232,1.1015757570526177
6,tied,-70750.11042288542,-72185.9197845459,-71065.91978454588,0.3905172049999237,329.18382358666497,0.9852538420267241
6,spherical,-58991.28006108174,-59552.7458114624,-59467.35321886981,0.3925948441028595,329.7113032933468,0.9860341626714115
7,full,-72217.01744792602,-79143.19036865234,inf,0.33888140320777893,300.86765220533306,1.2193101773684936
7,diag,-67769.13862700171,-68994.93408203125,-68338.27808203125,0.3432926833629608,299.6079077282689,1.1411179955767004
7,tied,-71021.87051514683,-72547.68583679199,-71135.55250345865,0.3645452558994293,317.70641113811473,1.0499399930509712
7,spherical,-59715.46896848106,-60371.22667694092,-60248.18751245006,0.3681560456752777,319.00180296637984,1.0481320146930548
8,full,-71666.03454495482,-79582.2730255127,inf,0.3126834034919739,286.0763485656969,1.3046837885099012
8,diag,-68019.43063420399,-69420.9520111084,-68394.57880536675,0.2968011200428009,272.1132529249425,1.3733635512806392
8,tied,-71210.13405589457,-72825.95533752441,-71033.4270356376,0.3713093101978302,309.6396753904759,1.061408025547984
8,spherical,-60436.82685933985,-61186.876525878906,-61016.23940676533,0.3724951148033142,313.6346147790375,1.091891954133454
9,full,-71474.30805067503,-80380.61209106445,inf,0.3524126708507538,298.3211393776053,1.2518707749784346
9,diag,-68286.88900798344,-69864.1363067627,-68247.56487819129,0.31539615988731384,279.58229476077395,1.3553372698185582
9,tied,-71765.39730672531,-73471.22454833984,-71169.74628747025,0.34165051579475403,299.98911386993024,1.2089926540650988
9,spherical,-61158.05774366789,-62002.39936828613,-61772.275474480826,0.37622037529945374,308.2161280141427,1.0104853521755421
10,full,-71222.2575512683,-81118.62715148926,inf,0.34102141857147217,289.2433766256307,1.1296657346250343
10,diag,-68513.90194719256,-70266.87516784668,-67626.0877662719,0.32682421803474426,278.29239679423324,1.2855321759240785
10,tied,-73138.86940460195,-74934.70260620117,-71926.49747799599,0.37143465876579285,292.69128529454457,1.0020040436800053
10,spherical,-62098.137268437815,-63036.770851135254,-62732.79608772832,0.3865755796432495,305.5569296160174,1.0099885510440525
