IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
paxi044,0,4,4,4
pivi588,1,8,8,8
weda047,2,2,2,2
zoka501,3,3,3,3
hyku415,4,0,0,0
syvi476,5,4,4,4
kuqy630,6,0,0,0
node314,7,0,0,0
mybu425,8,7,7,7
pyqy867,9,7,7,7
tywo507,10,2,2,2
nuhi137,11,4,4,4
vuho146,12,0,0,0
nysa238,13,1,1,1
kisa730,14,0,0,0
doza768,15,0,0,0
sapu497,16,0,0,0
dila385,17,7,7,7
pymu787,18,6,6,6
bejy525,19,0,0,0
bajo794,20,7,7,7
dugu064,21,6,6,6
hiwu738,22,2,2,2
zucy684,23,0,0,0
huxe147,24,0,0,0
woza563,25,0,0,0
neku787,26,7,7,7
navo572,27,0,0,0
gola051,28,2,2,2
pyzo535,29,1,1,1
xoky149,30,0,0,0
loxu319,31,5,5,5
qisu640,32,6,6,6
gery678,33,4,4,4
huho039,34,0,0,0
wozo826,35,1,1,1
soru820,36,1,1,1
fari709,37,6,6,6
qapo730,38,1,1,1
najy705,39,6,6,6
sejy814,40,2,2,2
laze716,41,7,7,7
kojo378,42,4,4,4
tepu554,43,3,3,3
dyva324,44,6,6,6
pusu302,45,1,1,1
xamy888,46,3,3,3
ninu744,47,4,4,4
punu537,48,2,2,2
zufa556,49,6,6,6
losy787,50,1,1,1
fuxa711,51,6,6,6
myzo000,52,0,0,0
jygo886,53,1,1,1
dyzo734,54,4,4,4
ciky680,55,0,0,0
nopo152,56,4,4,4
tivy194,57,2,2,2
biry098,58,1,1,1
tebo981,59,2,2,2
jyma323,60,2,2,2
cani065,61,7,7,7
puxi257,62,4,4,4
jemy201,63,2,2,2
woqa919,64,0,0,0
huze427,65,4,4,4
jaxe723,66,3,3,3
xamy676,67,7,7,7
lowy720,68,0,0,0
mixa281,69,6,6,6
sipy389,70,1,1,1
bube109,71,7,7,7
boqe999,72,2,2,2
guzo911,73,0,0,0
guxe800,74,0,0,0
dove442,75,7,7,7
zivi062,76,2,2,2
lury747,77,6,6,6
tuve726,78,0,0,0
vihu826,79,0,0,0
hata313,80,7,7,7
