IDCode,gmm_bic_best_label,gmm_aic_best_label,narrative_best_label,narrative_text
katu927,3,9,0,Accuracy medium (75.44%); speed moderate (17.32s); timing moderately variable (var=188.16); correct streak moderate (13); incorrect streak short (3); consecutive correct occasional (0.61).
jexu775,3,0,0,Accuracy medium (73.68%); speed moderate (18.13s); timing moderately variable (var=251.84); correct streak moderate (16); incorrect streak long (5); consecutive correct occasional (0.61).
tiro932,3,0,0,Accuracy medium (75.44%); speed moderate (16.57s); timing moderately variable (var=232.26); correct streak moderate (15); incorrect streak short (2); consecutive correct occasional (0.59).
loby351,0,9,0,Accuracy medium (71.93%); speed moderate (16.74s); timing moderately variable (var=159.30); correct streak moderate (17); incorrect streak long (5); consecutive correct occasional (0.62).
pyqy867,3,6,0,Accuracy medium (78.95%); speed moderate (17.57s); timing moderately variable (var=215.20); correct streak moderate (12); incorrect streak short (3); consecutive correct occasional (0.62).
qapo730,4,4,1,Accuracy low (56.14%); speed slow (20.83s); timing moderately variable (var=263.37); correct streak short (11); incorrect streak long (5); consecutive correct rare (0.41).
bebo956,4,4,1,Accuracy low (45.61%); speed slow (21.89s); timing moderately variable (var=303.41); correct streak short (5); incorrect streak long (14); consecutive correct rare (0.29).
guge611,4,4,1,Accuracy low (56.14%); speed slow (19.76s); timing moderately variable (var=173.90); correct streak short (11); incorrect streak long (9); consecutive correct rare (0.43).
qefe646,4,3,1,Accuracy low (45.61%); speed moderate (19.32s); timing highly variable (var=348.61); correct streak short (5); incorrect streak long (14); consecutive correct rare (0.29).
xypo299,2,4,1,Accuracy low (42.11%); speed slow (20.11s); timing moderately variable (var=286.99); correct streak short (8); incorrect streak long (13); consecutive correct rare (0.30).
dasy955,0,9,2,Accuracy medium (70.18%); speed fast (13.76s); timing stable (var=118.45); correct streak moderate (14); incorrect streak short (3); consecutive correct occasional (0.52).
foji729,3,9,2,Accuracy medium (73.68%); speed fast (13.37s); timing stable (var=107.37); correct streak moderate (14); incorrect streak short (2); consecutive correct occasional (0.55).
zoma564,3,0,2,Accuracy medium (75.44%); speed fast (10.99s); timing stable (var=148.86); correct streak moderate (15); incorrect streak long (6); consecutive correct occasional (0.64).
hywy001,3,9,2,Accuracy medium (73.68%); speed fast (14.03s); timing stable (var=109.13); correct streak moderate (16); incorrect streak short (2); consecutive correct occasional (0.57).
weru214,3,9,2,Accuracy medium (77.19%); speed fast (14.31s); timing stable (var=108.65); correct streak moderate (12); incorrect streak short (3); consecutive correct occasional (0.62).
vyxi492,1,2,3,Accuracy high (91.23%); speed fast (13.57s); timing moderately variable (var=212.71); correct streak long (30); incorrect streak short (2); consecutive correct frequent (0.84).
pufe463,1,2,3,Accuracy high (89.47%); speed fast (10.58s); timing moderately variable (var=193.90); correct streak long (18); incorrect streak short (2); consecutive correct frequent (0.84).
vamu972,1,2,3,Accuracy high (85.96%); speed fast (14.44s); timing moderately variable (var=328.79); correct streak long (24); incorrect streak short (3); consecutive correct frequent (0.79).
peto053,1,2,3,Accuracy high (85.96%); speed fast (14.44s); timing moderately variable (var=160.83); correct streak long (28); incorrect streak short (1); consecutive correct frequent (0.73).
koze985,1,2,3,Accuracy high (87.72%); speed slow (21.78s); timing moderately variable (var=325.47); correct streak long (31); incorrect streak short (2); consecutive correct frequent (0.80).
cona428,5,7,4,Accuracy medium (78.95%); speed moderate (17.64s); timing highly variable (var=1082.30); correct streak long (25); incorrect streak short (3); consecutive correct frequent (0.66).
tubo945,1,6,4,Accuracy medium (84.21%); speed fast (11.69s); timing moderately variable (var=158.88); correct streak long (28); incorrect streak short (2); consecutive correct frequent (0.70).
difi858,3,6,4,Accuracy medium (80.70%); speed fast (13.93s); timing moderately variable (var=232.69); correct streak long (20); incorrect streak short (3); consecutive correct frequent (0.71).
heda014,1,6,4,Accuracy medium (84.21%); speed moderate (16.48s); timing moderately variable (var=313.63); correct streak long (27); incorrect streak short (3); consecutive correct frequent (0.77).
vuvy608,1,2,4,Accuracy medium (84.21%); speed moderate (16.44s); timing highly variable (var=507.86); correct streak long (21); incorrect streak short (2); consecutive correct frequent (0.71).
lusi512,0,5,5,Accuracy medium (68.42%); speed slow (23.41s); timing highly variable (var=346.85); correct streak moderate (12); incorrect streak long (8); consecutive correct occasional (0.57).
rozu771,5,8,5,Accuracy medium (66.67%); speed slow (22.38s); timing highly variable (var=957.65); correct streak moderate (14); incorrect streak long (12); consecutive correct occasional (0.57).
puca767,3,0,5,Accuracy medium (73.68%); speed slow (20.40s); timing highly variable (var=389.29); correct streak moderate (13); incorrect streak short (3); consecutive correct occasional (0.55).
pino324,5,7,5,Accuracy medium (71.93%); speed slow (27.58s); timing highly variable (var=954.72); correct streak moderate (15); incorrect streak long (5); consecutive correct occasional (0.59).
guzo911,0,0,5,Accuracy medium (71.93%); speed slow (24.17s); timing highly variable (var=454.28); correct streak moderate (12); incorrect streak long (10); consecutive correct occasional (0.64).
sivi804,0,5,6,Accuracy medium (63.16%); speed slow (20.11s); timing moderately variable (var=157.17); correct streak short (8); incorrect streak long (5); consecutive correct rare (0.50).
lufy687,5,8,6,Accuracy medium (61.40%); speed moderate (18.68s); timing highly variable (var=743.22); correct streak short (11); incorrect streak long (8); consecutive correct rare (0.45).
doza768,4,3,6,Accuracy medium (61.40%); speed slow (33.16s); timing highly variable (var=786.72); correct streak short (6); incorrect streak moderate (4); consecutive correct rare (0.39).
vudi262,0,5,6,Accuracy medium (63.16%); speed fast (14.38s); timing moderately variable (var=204.82); correct streak short (11); incorrect streak long (8); consecutive correct rare (0.50).
nolu547,5,7,6,Accuracy medium (61.40%); speed slow (25.11s); timing highly variable (var=1420.61); correct streak short (8); incorrect streak moderate (4); consecutive correct rare (0.38).
