K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
2,full,-43815.14050465212,-45790.9856262207,-40111.46562622073,0.31323426961898804,263.52958144732867,1.3658750815607803
2,diag,-42863.48656675933,-43210.65241241455,-43181.45680801895,0.31150126457214355,260.8355320128804,1.366588167854464
2,tied,-43332.657868170856,-44408.44338989258,-43964.56970568206,0.31323426961898804,263.52958144732867,1.3658750815607803
2,spherical,-36446.86813570809,-36631.16605377197,-36623.49059738252,0.3127751052379608,263.5021746825476,1.3674987083210794
3,full,-44417.376900997326,-47383.28758239746,inf,0.24315772950649261,192.75320515118386,1.517708879143661
3,diag,-43185.062013597846,-43707.95378112793,-43635.46102750474,0.23236660659313202,184.9090896896955,1.4908741347279282
3,tied,-43941.853827741834,-45107.64530944824,-44545.09985490279,0.3082481026649475,201.98083370319344,1.1659784326158809
3,spherical,-38012.49579432812,-38291.08567047119,-38272.86910996164,0.3082481026649475,201.98083370319344,1.1659784326158809
4,full,-44397.82619559693,-48353.80243682861,inf,0.2212071567773819,158.71022539771175,1.7714275543480857
4,diag,-43447.501580919765,-44146.11927032471,-44002.784149681276,0.166713148355484,135.7508486967818,1.5662863637984028
4,tied,-45384.45435121662,-46640.251792907715,-45931.26413858673,0.2541061341762543,167.9337394762358,1.5220363769348288
4,spherical,-39161.349473761125,-39534.2313079834,-39500.12885809476,0.27591192722320557,192.29609489628456,1.4171591183793102
5,full,-44207.30421486695,-49153.346015930176,inf,0.28441712260246277,171.4251240013239,1.4384498756031519
5,diag,-43561.08539720408,-44435.42900848389,-44183.50129764051,0.24921353161334991,156.97000366422347,1.438153759677509
5,tied,-45397.81760815088,-46743.62100982666,-45852.53992874559,0.28441712260246277,171.4251240013239,1.4384498756031519
5,spherical,-40083.037633479784,-40550.21142578125,-40494.05217519577,0.27349212765693665,183.7967861152544,1.452148680464577
6,full,-43795.29103845825,-49731.39839935303,inf,0.26808860898017883,156.89432273606357,1.4397780606287778
6,diag,-43801.155427172474,-44851.22496032715,-44436.99815620344,0.26808860898017883,156.89432273606357,1.4397780606287778
6,tied,-45479.28504446746,-46915.09440612793,-45795.09440612794,0.26808860898017883,156.89432273606357,1.4397780606287778
6,spherical,-40744.50170262227,-41305.96745300293,-41220.574860410336,0.25326430797576904,168.50540206982308,1.464720686185041
7,full,-42889.6649317517,-49815.83785247803,inf,0.25263431668281555,156.27649888036046,1.4568648809041602
7,diag,-43926.587723681405,-45152.38317871094,-44495.72717871094,0.26259011030197144,160.9796735602753,1.4140972876288669
7,tied,-46509.07337311803,-48034.88869476318,-46622.75536142986,0.19373339414596558,120.99905616176267,1.5949110096478816
7,spherical,-41354.368344396586,-42010.126052856445,-41887.086888365586,0.2631765604019165,161.430078759241,1.4087753904165978
8,full,-42539.95050717406,-50456.18898773193,inf,0.256135493516922,140.89316908359166,1.4666781645304923
8,diag,-44120.03406590566,-45521.55544281006,-44495.18223706843,0.2628401219844818,150.42957697591675,1.3906219728283933
8,tied,-45838.00253276225,-47453.82381439209,-45661.295512505305,0.25152817368507385,144.41174010143683,1.4204766429575812
8,spherical,-41835.73305593409,-42585.782722473145,-42415.14560335957,0.26345592737197876,150.8622382228047,1.3859653127676583
9,full,-41507.153990311264,-50413.45803070068,inf,0.23794306814670563,138.3789037711485,1.4740386062548447
9,diag,-44227.11187022708,-45804.35916900635,-44187.78774043491,0.2513301372528076,140.5385414280477,1.4400953692971001
9,tied,-46619.34969930344,-48325.17694091797,-46023.698680048416,0.22420917451381683,128.67113382452752,1.5453024673072187
9,spherical,-42133.76588880949,-42978.107513427734,-42747.98361962243,0.2516920566558838,140.83260779556122,1.433643388672495
10,full,-40724.31042297239,-50620.68002319336,inf,0.25327399373054504,128.5513358566534,1.4358196292889591
10,diag,-44360.049843005545,-46113.02306365967,-43472.23566208489,0.22613553702831268,130.42955337805196,1.4380798272934503
10,tied,-46979.743962097076,-48775.57716369629,-45767.37203549118,0.25277599692344666,124.89765762488116,1.4523365182089725
10,spherical,-42567.38843573518,-43506.02201843262,-43202.04725502568,0.24147431552410126,135.91040277875535,1.4200183932644872
