IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
paxi044,0,4,1,1
pivi588,1,2,3,3
weda047,2,0,4,4
zoka501,3,8,6,6
hyku415,4,3,5,5
syvi476,5,1,1,1
kuqy630,6,3,5,5
node314,7,5,6,6
mybu425,8,3,5,5
pyqy867,9,0,0,0
tywo507,10,6,4,4
nuhi137,11,1,1,1
vuho146,12,5,6,6
nysa238,13,4,1,1
kisa730,14,3,5,5
doza768,15,5,6,6
sapu497,16,5,6,6
dila385,17,0,0,0
pymu787,18,4,1,1
bejy525,19,3,5,5
bajo794,20,0,0,0
dugu064,21,4,1,1
hiwu738,22,0,4,4
zucy684,23,3,4,4
huxe147,24,5,6,6
woza563,25,5,6,6
neku787,26,0,0,0
navo572,27,5,6,6
gola051,28,6,5,5
pyzo535,29,4,1,1
xoky149,30,3,5,5
loxu319,31,2,3,3
qisu640,32,4,1,1
gery678,33,1,1,1
huho039,34,3,4,4
wozo826,35,4,1,1
soru820,36,4,1,1
fari709,37,1,1,1
qapo730,38,9,1,1
najy705,39,1,1,1
sejy814,40,0,4,4
laze716,41,3,0,0
kojo378,42,1,1,1
tepu554,43,6,4,4
dyva324,44,9,1,1
pusu302,45,4,1,1
xamy888,46,8,6,6
ninu744,47,1,1,1
punu537,48,6,5,5
zufa556,49,1,1,1
losy787,50,4,1,1
fuxa711,51,9,1,1
myzo000,52,3,5,5
jygo886,53,9,1,1
dyzo734,54,9,1,1
ciky680,55,0,4,4
nopo152,56,1,1,1
tivy194,57,8,6,6
biry098,58,9,1,1
tebo981,59,0,4,4
jyma323,60,0,5,5
cani065,61,0,5,5
puxi257,62,9,1,1
jemy201,63,6,5,5
woqa919,64,0,5,5
huze427,65,1,1,1
jaxe723,66,6,4,4
xamy676,67,5,6,6
lowy720,68,3,5,5
mixa281,69,9,1,1
sipy389,70,1,1,1
bube109,71,0,0,0
boqe999,72,6,4,4
guzo911,73,3,5,5
guxe800,74,3,5,5
dove442,75,3,5,5
zivi062,76,8,6,6
lury747,77,9,1,1
tuve726,78,3,5,5
vihu826,79,3,4,4
hata313,80,5,6,6
hoki309,81,4,1,1
kyzy131,82,9,1,1
syti148,83,3,4,4
syco853,84,2,3,3
sefy975,85,1,1,1
jese656,86,0,4,4
guge611,87,9,1,1
mesi806,88,5,6,6
sesi698,89,0,4,4
gopa505,90,3,5,5
duwi894,91,3,0,0
hasa034,92,5,6,6
pile112,93,2,3,3
sivi804,94,5,6,6
maho931,95,4,1,1
waho571,96,8,6,6
mowy859,97,4,1,1
rihi168,98,4,1,1
siry766,99,3,5,5
qefe646,100,4,1,1
zojo883,101,2,3,3
dero258,102,6,4,4
mika525,103,8,6,6
xohi599,104,6,4,4
tebe135,105,5,6,6
naso669,106,1,1,1
qecu035,107,3,4,4
zywy107,108,3,5,5
cave700,109,9,1,1
nupy082,110,3,4,4
hoge626,111,2,3,3
nivo041,112,3,4,4
karo919,113,9,1,1
vuhe805,114,0,5,5
kebi083,115,6,5,5
faly535,116,9,1,1
gelo627,117,9,1,1
vili771,118,0,4,4
katu927,119,0,0,0
xiza150,120,1,1,1
bevi590,121,6,4,4
huve181,122,9,1,1
fite050,123,6,4,4
nysu060,124,6,4,4
kaho190,125,3,5,5
lany944,126,7,3,3
maqu534,127,3,5,5
wuga870,128,3,5,5
wyva352,129,3,5,5
hime464,130,6,2,2
jexu775,131,0,0,0
tuga736,132,5,6,6
hyfe498,133,1,1,1
bomo360,134,0,4,4
lomo204,135,2,3,3
mipe544,136,6,5,5
hufy497,137,6,4,4
rapo919,138,0,5,5
gata076,139,4,1,1
muvo194,140,4,1,1
cywo537,141,0,0,0
xamy327,142,3,2,2
cogu074,143,0,4,4
rapo615,144,4,1,1
zady580,145,4,1,1
nujo284,146,3,5,5
syzu625,147,3,5,5
myte214,148,3,5,5
tyzo440,149,4,1,1
vyzo298,150,6,2,2
hiwu589,151,5,6,6
sazy810,152,0,4,4
turi097,153,0,5,5
foji729,154,6,2,2
dexe201,155,0,4,4
dosu709,156,3,4,4
doxe392,157,4,1,1
culu497,158,3,5,5
lije367,159,2,3,3
vice024,160,6,4,4
kapy740,161,0,4,4
vudi262,162,5,6,6
tuza510,163,5,6,6
tubo945,164,0,4,4
bofi323,165,0,5,5
zeji633,166,4,1,1
bowo488,167,4,1,1
pipo687,168,4,1,1
core934,169,3,5,5
dedu084,170,9,1,1
lowa532,171,9,1,1
zuha759,172,4,1,1
qafu966,173,4,1,1
