Cluster,Keywords
0,"rare (0.58), medium (0.50), speed (0.34), var (0.34)"
1,"frequent (0.61), medium (0.50), speed (0.34), var (0.34)"
2,"high (0.69), frequent (0.54), speed (0.30), var (0.30)"
3,"low (0.68), rare (0.53), speed (0.30), var (0.30)"
4,"low (0.69), rare (0.54), speed (0.30), var (0.30)"
5,"frequent (0.61), medium (0.49), moderate (0.35), var (0.34)"
6,"medium (0.60), moderate (0.47), speed (0.41), var (0.41)"
7,"high (0.68), frequent (0.53), speed (0.30), var (0.30)"
8,"rare (0.60), medium (0.49), moderate (0.38), var (0.34)"
9,"medium (0.61), var (0.42), speed (0.42), moderate (0.42)"
