narrative_best_label,S1,S2,S3,S5,S6,Missing_total
0,8.581395348837209,23.53488372093023,4.0,4.651162790697675,3.1627906976744184,0.969400244883721
1,11.463414634146341,29.804878048780488,4.585365853658536,5.609756097560975,4.341463414634147,1.7792041078048781
2,13.375,31.979166666666668,4.875,6.645833333333333,5.166666666666667,0.0
3,6.653846153846154,16.71794871794872,2.3205128205128207,4.0,2.0128205128205128,13.627530364397435
4,6.352941176470588,15.470588235294118,1.8431372549019607,3.450980392156863,2.1372549019607843,17.47058823547059
5,11.302631578947368,29.81578947368421,4.605263157894737,5.921052631578948,4.131578947368421,0.5941828254473683
6,9.965217391304348,26.869565217391305,4.139130434782609,5.060869565217391,3.4869565217391303,1.691533180756522
7,13.64,32.32,4.96,6.76,4.96,0.0
8,8.1875,24.25,4.25,4.0,3.125,1.8453947369375001
9,9.977272727272727,27.318181818181817,4.0,4.909090909090909,3.7954545454545454,2.250000000159091
