K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
2,full,-52830.7236726819,-54806.56879425049,-49127.04879425051,0.2733533978462219,211.09075843078298,1.5132949047319424
2,diag,-49736.31797239898,-50083.4838180542,-50054.2882136586,0.2108188420534134,127.85551359377016,1.564011862381523
2,tied,-49674.01610639107,-50749.80162811279,-50305.92794390227,0.2733533978462219,211.09075843078298,1.5132949047319424
2,spherical,-40602.64882876229,-40786.94674682617,-40779.27129043672,0.27465906739234924,216.53260680627503,1.5156036600898888
3,full,-54035.503632869884,-57001.41431427002,inf,0.23194971680641174,163.6041533109954,1.5690168175692107
3,diag,-50198.22744175947,-50721.11920928955,-50648.62645566636,0.20910897850990295,115.17636451764936,1.1909665446307243
3,tied,-50882.28548362562,-52048.07696533203,-51485.53151078658,0.2837855815887451,176.82601402917186,1.1791696728392447
3,spherical,-42628.80216792431,-42907.39204406738,-42889.17548355783,0.2885732054710388,184.14852378730785,1.1928345592956773
4,full,-54834.59605491089,-58790.57229614258,inf,0.25710391998291016,161.56756889205298,1.6662521958618064
4,diag,-50578.36109324887,-51276.97878265381,-51133.64366201038,0.14795567095279694,107.24285527692325,1.6666725253576293
4,tied,-52654.09512880451,-53909.892570495605,-53200.90491617462,0.25719669461250305,152.33314327536468,1.4799651088499703
4,spherical,-43813.365167425676,-44186.24700164795,-44152.14455175931,0.26729705929756165,146.5161266762552,1.0995606673529155
5,full,-55316.651497276616,-60262.693298339844,inf,0.2870807349681854,164.45560059541404,1.3957749859463338
5,diag,-51120.70256944529,-51995.0461807251,-51743.11846988172,0.21192839741706848,125.94519962960662,1.4799385204287696
5,tied,-54403.539333614746,-55749.34273529053,-54858.261654209455,0.2881711721420288,157.61495036383204,1.4800180729971633
5,spherical,-44954.696782649706,-45421.87057495117,-45365.71132436569,0.27764904499053955,158.0602406061604,1.2744549990662626
6,full,-55119.29164880981,-61055.39900970459,inf,0.30797451734542847,160.61437528773996,1.3179496275507754
6,diag,-51344.04870720177,-52394.118240356445,-51979.891436232734,0.23517918586730957,128.25383786034857,1.4701699424924282
6,tied,-53211.524576938165,-54647.33393859863,-53527.33393859864,0.30977773666381836,160.15946863206358,1.3124402573674103
6,spherical,-45813.93460209737,-46375.40035247803,-46290.00775988543,0.28672361373901367,162.6144842194579,1.2974393023089548
7,full,-54620.02088878295,-61546.19380950928,inf,0.28371965885162354,146.01457213098732,1.4600526029400565
7,diag,-51711.25637144752,-52937.05182647705,-52280.395826477055,0.2917407155036926,152.86826310788302,1.2203283983767164
7,tied,-54743.50901917516,-56269.32434082031,-54857.19100748699,0.304225355386734,153.4891649009617,1.2781487951587616
7,spherical,-46847.294278234476,-47503.051986694336,-47380.01282220348,0.2879755198955536,150.023308993464,1.2613159141860528
8,full,-54354.10619259886,-62270.34467315674,inf,0.31761255860328674,148.43732043178593,1.2449081578069918
8,diag,-51965.460999194234,-53366.98237609863,-52340.609170357005,0.2876910865306854,140.0968121036489,1.1943535735950501
8,tied,-54980.981445115765,-56596.802726745605,-54804.27442485882,0.3189454674720764,152.45517045509692,1.2266794299274393
8,spherical,-47430.624749049326,-48180.67441558838,-48010.0372964748,0.27092912793159485,144.80084704421319,1.2755664354123348
9,full,-53590.13333754027,-62496.43737792969,inf,0.28605255484580994,136.64589572752092,1.3880881285870301
9,diag,-52070.027351794466,-53647.27465057373,-52030.703222002296,0.28339067101478577,131.47558869633252,1.2740101186446653
9,tied,-55469.67278890305,-57175.50003051758,-54874.021769648025,0.33007925748825073,144.1543474419867,1.212276433396154
9,spherical,-48023.03413832121,-48867.37576293945,-48637.25186913415,0.29531094431877136,133.82437483628362,1.216586876773432
10,full,-53133.39747436399,-63029.76707458496,inf,0.3100934326648712,138.33640669703377,1.3471392322619706
10,diag,-52168.97264116228,-53921.945861816406,-51281.158460241626,0.2797889709472656,136.06429464423186,1.2937226432098519
10,tied,-56792.903561401276,-58588.73676300049,-55580.53163479538,0.3302833139896393,138.8127989550075,1.1980999852989795
10,spherical,-48607.646965398264,-49546.2805480957,-49242.30578468877,0.28548872470855713,134.47258077241008,1.2284905434069198
