IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
paxi044,0,0,0,0
pivi588,1,9,9,9
weda047,2,1,1,1
zoka501,3,3,3,3
hyku415,4,4,4,4
syvi476,5,8,8,8
kuqy630,6,4,4,4
node314,7,6,6,6
mybu425,8,4,4,4
pyqy867,9,4,4,4
tywo507,10,7,7,7
nuhi137,11,8,8,8
vuho146,12,6,6,6
nysa238,13,0,0,0
kisa730,14,4,4,4
doza768,15,6,6,6
sapu497,16,6,6,6
dila385,17,4,4,4
pymu787,18,0,0,0
bejy525,19,4,4,4
bajo794,20,4,4,4
dugu064,21,0,0,0
hiwu738,22,1,1,1
zucy684,23,1,1,1
huxe147,24,6,6,6
woza563,25,6,6,6
neku787,26,4,4,4
navo572,27,6,6,6
gola051,28,2,2,2
pyzo535,29,0,0,0
xoky149,30,4,4,4
loxu319,31,9,9,9
qisu640,32,0,0,0
gery678,33,8,8,8
huho039,34,1,1,1
wozo826,35,0,0,0
soru820,36,0,0,0
fari709,37,8,8,8
qapo730,38,0,0,0
najy705,39,8,8,8
sejy814,40,1,1,1
laze716,41,4,4,4
kojo378,42,8,8,8
tepu554,43,7,7,7
dyva324,44,0,0,0
pusu302,45,0,0,0
xamy888,46,3,3,3
ninu744,47,8,8,8
punu537,48,2,2,2
zufa556,49,8,8,8
losy787,50,0,0,0
fuxa711,51,0,0,0
myzo000,52,4,4,4
jygo886,53,0,0,0
dyzo734,54,0,0,0
ciky680,55,1,1,1
nopo152,56,8,8,8
tivy194,57,3,3,3
biry098,58,0,0,0
tebo981,59,1,1,1
jyma323,60,4,4,4
cani065,61,4,4,4
puxi257,62,0,0,0
jemy201,63,2,2,2
woqa919,64,4,4,4
huze427,65,8,8,8
jaxe723,66,7,7,7
xamy676,67,6,6,6
lowy720,68,4,4,4
mixa281,69,0,0,0
sipy389,70,8,8,8
bube109,71,4,4,4
boqe999,72,7,7,7
guzo911,73,4,4,4
guxe800,74,4,4,4
dove442,75,4,4,4
zivi062,76,3,3,3
lury747,77,0,0,0
tuve726,78,4,4,4
vihu826,79,1,1,1
hata313,80,6,6,6
hoki309,81,0,0,0
kyzy131,82,0,0,0
syti148,83,1,1,1
syco853,84,9,9,9
sefy975,85,8,8,8
jese656,86,1,1,1
guge611,87,0,0,0
mesi806,88,6,6,6
sesi698,89,1,1,1
gopa505,90,4,4,4
duwi894,91,4,4,4
hasa034,92,6,6,6
pile112,93,9,9,9
sivi804,94,6,6,6
maho931,95,0,0,0
waho571,96,3,3,3
mowy859,97,0,0,0
rihi168,98,0,0,0
siry766,99,4,4,4
qefe646,100,0,0,0
zojo883,101,9,9,9
dero258,102,7,7,7
mika525,103,3,3,3
xohi599,104,7,7,7
tebe135,105,6,6,6
naso669,106,8,8,8
qecu035,107,1,1,1
zywy107,108,4,4,4
cave700,109,0,0,0
nupy082,110,1,1,1
hoge626,111,9,9,9
nivo041,112,1,1,1
karo919,113,0,0,0
vuhe805,114,4,4,4
kebi083,115,2,2,2
faly535,116,0,0,0
gelo627,117,0,0,0
vili771,118,1,1,1
katu927,119,4,4,4
xiza150,120,8,8,8
bevi590,121,7,7,7
huve181,122,0,0,0
fite050,123,7,7,7
nysu060,124,7,7,7
kaho190,125,4,4,4
lany944,126,5,5,5
maqu534,127,4,4,4
wuga870,128,4,4,4
wyva352,129,4,4,4
hime464,130,2,2,2
jexu775,131,4,4,4
tuga736,132,6,6,6
hyfe498,133,8,8,8
bomo360,134,1,1,1
lomo204,135,9,9,9
mipe544,136,2,2,2
hufy497,137,7,7,7
rapo919,138,4,4,4
gata076,139,0,0,0
muvo194,140,0,0,0
cywo537,141,4,4,4
xamy327,142,4,4,4
cogu074,143,1,1,1
rapo615,144,0,0,0
zady580,145,0,0,0
nujo284,146,4,4,4
syzu625,147,4,4,4
myte214,148,4,4,4
tyzo440,149,0,0,0
vyzo298,150,2,2,2
hiwu589,151,6,6,6
sazy810,152,1,1,1
turi097,153,4,4,4
foji729,154,2,2,2
dexe201,155,1,1,1
dosu709,156,1,1,1
doxe392,157,0,0,0
culu497,158,4,4,4
lije367,159,9,9,9
vice024,160,7,7,7
kapy740,161,1,1,1
vudi262,162,6,6,6
tuza510,163,6,6,6
tubo945,164,1,1,1
bofi323,165,4,4,4
zeji633,166,0,0,0
bowo488,167,0,0,0
pipo687,168,0,0,0
core934,169,4,4,4
dedu084,170,0,0,0
lowa532,171,0,0,0
zuha759,172,0,0,0
qafu966,173,0,0,0
lobo127,174,4,4,4
homa046,175,0,0,0
keno764,176,8,8,8
habe142,177,4,4,4
joti731,178,5,5,5
reve265,179,2,2,2
cyca115,180,9,9,9
rawo522,181,9,9,9
pogi169,182,9,9,9
vepi727,183,4,4,4
risy585,184,3,3,3
fefu774,185,2,2,2
wyxo615,186,1,1,1
ciby707,187,1,1,1
xuvy948,188,9,9,9
ravy196,189,9,9,9
loge702,190,6,6,6
viry492,191,4,4,4
gowa049,192,4,4,4
vyva107,193,2,2,2
duxo262,194,5,5,5
peto053,195,9,9,9
difi858,196,1,1,1
xoru423,197,4,4,4
wizy437,198,9,9,9
kuge219,199,1,1,1
hazu473,200,4,4,4
gono087,201,4,4,4
vury347,202,4,4,4
copo281,203,0,0,0
heda014,204,1,1,1
powu461,205,9,9,9
peqa279,206,1,1,1
lufy687,207,6,6,6
koze985,208,9,9,9
hadi890,209,2,2,2
recu163,210,1,1,1
xyzi642,211,9,9,9
nejy388,212,6,6,6
tezy480,213,2,2,2
nawu690,214,1,1,1
mofe780,215,6,6,6
nily317,216,0,0,0
roho333,217,0,0,0
xime971,218,0,0,0
muqo157,219,0,0,0
riby296,220,3,3,3
pala257,221,4,4,4
tuby409,222,1,1,1
hoxo855,223,6,6,6
qixy634,224,9,9,9
niri091,225,4,4,4
lazi600,226,7,7,7
qedo478,227,6,6,6
ruhu758,228,1,1,1
cima563,229,9,9,9
lyzy104,230,6,6,6
xafy802,231,4,4,4
bacy598,232,8,8,8
kexi927,233,8,8,8
cumo221,234,4,4,4
kami789,235,6,6,6
zoko875,236,7,7,7
sina926,237,7,7,7
fise899,238,4,4,4
cija437,239,7,7,7
manu258,240,1,1,1
zuwa573,241,1,1,1
joxi410,242,0,0,0
muta539,243,5,5,5
reqy562,244,9,9,9
doxe492,245,1,1,1
gylu244,246,8,8,8
