K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
2,full,-58688.52298145876,-60664.368103027344,-54984.84810302737,0.2205166071653366,57.61212905086279,2.495197140592011
2,diag,-60346.931093431696,-60694.096939086914,-60664.90133469131,0.24303679168224335,32.90563674979854,3.5626184097458373
2,tied,-58899.65578534615,-59975.44130706787,-59531.56762285735,0.30777597427368164,66.41552047469844,1.8444859926398032
2,spherical,-59157.245950954675,-59341.543869018555,-59333.868412629105,0.29924923181533813,57.96557428238981,2.3698675326990575
3,full,-58331.70028814332,-61297.61096954346,inf,0.16202393174171448,44.04271937349762,2.9825920404821837
3,diag,-60280.84163853681,-60803.733406066895,-60731.2406524437,0.060924991965293884,30.003714055697575,3.946276546961064
3,tied,-59350.200103071424,-60515.99158477783,-59953.44613023238,0.33722710609436035,39.69091573721939,1.4653098102530056
3,spherical,-59497.49411586132,-59776.083992004395,-59757.867431494844,0.12725956737995148,59.31505295574511,2.6517724635987387
4,full,-57792.47573172974,-61748.451972961426,inf,0.03930284082889557,38.09507554662008,3.2131144424145957
4,diag,-60279.17317363217,-60977.79086303711,-60834.45574239368,0.011733087711036205,22.430530499147768,3.666080181114191
4,tied,-59479.19256380207,-60734.990005493164,-60026.00235117218,0.05383666977286339,35.141496258387846,2.3813346426841164
4,spherical,-59626.108430670305,-59998.99026489258,-59964.88781500394,0.10303574055433273,48.910874917056724,2.297885838100573
5,full,-57082.38232460816,-62028.42412567139,inf,0.0263775996863842,35.33389382792922,3.280187058328137
5,diag,-60226.5382170283,-61100.881828308105,-60848.95411746473,-0.00653982674703002,21.35956976023742,3.4498567143676424
5,tied,-59639.67854717676,-60985.48194885254,-60094.40086777147,0.1183229386806488,34.67187308618363,1.8870983951542257
5,spherical,-59682.103688777635,-60149.2774810791,-60093.11823049362,0.05694091320037842,45.03563527090566,2.548052008869814
6,full,-56187.28137201538,-62123.388732910156,inf,0.0451953299343586,36.499287492301576,2.5031955089980022
6,diag,-60104.414300158314,-61154.48383331299,-60740.25702918928,0.024651331827044487,22.980949646727645,2.807661147159335
6,tied,-59952.45765188934,-61388.267013549805,-60268.26701354981,0.07408450543880463,35.83948225412519,2.2625200445975167
6,spherical,-59809.370095566606,-60370.835845947266,-60285.44325335467,0.07932423800230026,42.91579100428203,2.1830986915354105
7,full,-55270.47049663207,-62196.6434173584,inf,0.06180650740861893,35.5638397459953,2.378820279145503
7,diag,-60046.73595518775,-61272.531410217285,-60615.87541021729,0.0025806648191064596,24.558046622742655,2.7746625161989766
7,tied,-59937.73198060094,-61463.547302246094,-60051.41396891277,0.060275983065366745,31.36720675320735,2.5335099660652873
7,spherical,-59898.186299413675,-60553.944007873535,-60430.904843382676,0.04580299183726311,38.73585298355572,2.249678786071793
8,full,-54263.64476681761,-62179.88324737549,inf,0.04966861754655838,33.27392538121636,2.58889743877689
8,diag,-59920.175003710836,-61321.696380615234,-60295.32317487361,0.015256633050739765,25.412565100921178,2.9181571844759104
8,tied,-59890.09932689067,-61505.92060852051,-59713.39230663372,0.056443631649017334,27.096135714708872,2.4628918388516845
8,spherical,-59948.163086756846,-60698.2127532959,-60527.57563418232,0.04598070681095123,36.96730342847041,2.254114194149678
9,full,-53156.389647049546,-62062.693687438965,inf,0.04941093549132347,30.46459351228102,2.6415435824909816
9,diag,-59772.2605671265,-61349.50786590576,-59732.93643733433,0.02500201016664505,24.471801140045773,2.8073622700453402
9,tied,-59953.40073232346,-61659.22797393799,-59357.749713068435,0.06186574324965477,26.582450474693715,2.6240525634945495
9,spherical,-59966.39233839445,-60810.733963012695,-60580.61006920739,0.05203326791524887,34.901162548561935,2.2897822977118185
10,full,-52233.09734161253,-62129.466941833496,inf,0.03979160636663437,29.83938670288492,2.5680299915738183
10,diag,-59630.249885730154,-61383.22310638428,-58742.4357048095,0.011685015633702278,22.405542096405195,2.723667258248186
10,tied,-59919.595402526764,-61715.42860412598,-58707.223475920866,0.058896325528621674,25.347466731476278,2.5548380505556407
10,spherical,-59973.2688449759,-60911.90242767334,-60607.927664266404,0.05910976231098175,33.118458382104166,2.2712515695875686
