IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
paxi044,0,1,1,1
pivi588,1,1,4,4
weda047,2,1,4,4
zoka501,3,0,2,2
hyku415,4,0,2,2
syvi476,5,1,1,1
kuqy630,6,1,3,3
node314,7,1,1,1
mybu425,8,1,1,1
pyqy867,9,0,0,0
tywo507,10,1,2,2
nuhi137,11,1,1,1
vuho146,12,1,2,2
nysa238,13,1,1,1
kisa730,14,1,1,1
doza768,15,1,1,1
sapu497,16,1,1,1
dila385,17,1,1,1
pymu787,18,1,1,1
bejy525,19,1,1,1
bajo794,20,1,1,1
dugu064,21,0,2,2
hiwu738,22,0,2,2
zucy684,23,1,1,1
huxe147,24,1,1,1
woza563,25,1,1,1
neku787,26,1,3,3
navo572,27,1,1,1
gola051,28,1,2,2
pyzo535,29,1,1,1
xoky149,30,0,2,2
loxu319,31,1,3,3
qisu640,32,1,1,1
gery678,33,1,1,1
huho039,34,1,1,1
wozo826,35,1,2,2
soru820,36,1,1,1
fari709,37,1,2,2
qapo730,38,1,1,1
najy705,39,0,0,0
sejy814,40,0,2,2
laze716,41,1,1,1
kojo378,42,0,2,2
tepu554,43,0,2,2
dyva324,44,1,1,1
pusu302,45,1,1,1
xamy888,46,1,1,1
ninu744,47,0,2,2
punu537,48,1,1,1
zufa556,49,1,1,1
losy787,50,0,2,2
fuxa711,51,0,0,0
myzo000,52,0,2,2
jygo886,53,1,2,2
dyzo734,54,1,1,1
ciky680,55,1,3,3
nopo152,56,1,2,2
tivy194,57,1,2,2
biry098,58,1,1,1
tebo981,59,1,3,3
jyma323,60,0,0,0
cani065,61,1,2,2
puxi257,62,1,1,1
jemy201,63,1,1,1
woqa919,64,1,3,3
huze427,65,1,1,1
jaxe723,66,1,2,2
xamy676,67,1,1,1
lowy720,68,1,1,1
mixa281,69,1,1,1
sipy389,70,1,2,2
bube109,71,1,1,1
boqe999,72,1,1,1
guzo911,73,1,2,2
guxe800,74,1,1,1
dove442,75,1,1,1
zivi062,76,1,1,1
lury747,77,1,1,1
tuve726,78,1,1,1
vihu826,79,0,0,0
hata313,80,1,2,2
hoki309,81,1,1,1
kyzy131,82,1,3,3
syti148,83,1,2,2
syco853,84,1,4,4
sefy975,85,1,1,1
jese656,86,0,2,2
guge611,87,1,1,1
mesi806,88,1,1,1
sesi698,89,1,2,2
gopa505,90,1,2,2
duwi894,91,0,0,0
hasa034,92,1,3,3
pile112,93,1,4,4
sivi804,94,0,2,2
maho931,95,1,1,1
waho571,96,1,1,1
mowy859,97,0,2,2
rihi168,98,0,0,0
siry766,99,0,0,0
qefe646,100,1,1,1
zojo883,101,1,4,4
dero258,102,1,3,3
mika525,103,1,1,1
xohi599,104,1,2,2
tebe135,105,1,1,1
naso669,106,1,1,1
qecu035,107,1,1,1
zywy107,108,0,0,0
cave700,109,0,2,2
nupy082,110,1,2,2
hoge626,111,1,3,3
nivo041,112,1,2,2
karo919,113,0,2,2
vuhe805,114,1,3,3
kebi083,115,0,0,0
faly535,116,1,2,2
gelo627,117,1,1,1
vili771,118,0,2,2
katu927,119,1,2,2
xiza150,120,1,1,1
bevi590,121,1,3,3
huve181,122,1,2,2
fite050,123,1,1,1
nysu060,124,1,1,1
kaho190,125,1,2,2
lany944,126,1,3,3
maqu534,127,1,1,1
wuga870,128,1,1,1
wyva352,129,1,2,2
hime464,130,1,3,3
jexu775,131,1,1,1
tuga736,132,1,2,2
hyfe498,133,1,1,1
bomo360,134,0,2,2
lomo204,135,1,2,2
mipe544,136,0,2,2
hufy497,137,1,2,2
rapo919,138,1,1,1
gata076,139,1,1,1
muvo194,140,0,2,2
cywo537,141,1,1,1
xamy327,142,1,2,2
cogu074,143,0,2,2
rapo615,144,1,1,1
zady580,145,0,2,2
nujo284,146,0,0,0
syzu625,147,1,2,2
myte214,148,1,1,1
tyzo440,149,1,1,1
vyzo298,150,1,4,4
hiwu589,151,0,2,2
sazy810,152,0,0,0
turi097,153,1,1,1
foji729,154,1,1,1
dexe201,155,1,2,2
dosu709,156,1,1,1
doxe392,157,0,2,2
culu497,158,1,1,1
lije367,159,1,4,4
vice024,160,1,2,2
kapy740,161,1,2,2
vudi262,162,1,1,1
tuza510,163,0,2,2
tubo945,164,1,4,4
bofi323,165,1,1,1
zeji633,166,0,2,2
bowo488,167,1,1,1
pipo687,168,1,1,1
core934,169,1,1,1
dedu084,170,1,2,2
lowa532,171,1,2,2
zuha759,172,1,2,2
qafu966,173,1,1,1
lobo127,174,1,1,1
homa046,175,0,0,0
keno764,176,1,1,1
habe142,177,1,1,1
joti731,178,1,4,4
reve265,179,1,2,2
cyca115,180,1,4,4
rawo522,181,1,3,3
pogi169,182,0,4,4
vepi727,183,0,2,2
risy585,184,1,3,3
fefu774,185,1,3,3
wyxo615,186,1,2,2
ciby707,187,0,2,2
xuvy948,188,1,1,1
ravy196,189,1,1,1
loge702,190,0,2,2
viry492,191,1,2,2
gowa049,192,1,4,4
vyva107,193,1,1,1
duxo262,194,1,1,1
peto053,195,1,1,1
difi858,196,1,3,3
xoru423,197,1,4,4
wizy437,198,1,2,2
kuge219,199,1,2,2
hazu473,200,1,2,2
gono087,201,1,3,3
vury347,202,1,3,3
copo281,203,1,1,1
heda014,204,1,3,3
powu461,205,1,1,1
peqa279,206,1,2,2
lufy687,207,1,1,1
koze985,208,1,4,4
hadi890,209,0,2,2
recu163,210,1,2,2
xyzi642,211,1,4,4
nejy388,212,1,1,1
tezy480,213,1,3,3
nawu690,214,1,2,2
mofe780,215,0,2,2
nily317,216,1,1,1
roho333,217,1,2,2
xime971,218,0,0,0
muqo157,219,1,1,1
riby296,220,1,1,1
pala257,221,1,1,1
tuby409,222,1,1,1
hoxo855,223,1,1,1
qixy634,224,1,3,3
niri091,225,0,0,0
lazi600,226,1,2,2
qedo478,227,0,2,2
ruhu758,228,1,4,4
cima563,229,1,4,4
lyzy104,230,1,3,3
xafy802,231,1,3,3
bacy598,232,1,1,1
kexi927,233,1,1,1
cumo221,234,1,4,4
kami789,235,1,3,3
zoko875,236,1,1,1
sina926,237,1,1,1
fise899,238,1,1,1
cija437,239,1,3,3
manu258,240,0,2,2
zuwa573,241,0,2,2
joxi410,242,1,2,2
muta539,243,1,1,1
reqy562,244,1,4,4
doxe492,245,1,4,4
gylu244,246,1,1,1
maxy370,247,1,2,2
ryko512,248,1,3,3
kula014,249,1,3,3
jeqy595,250,1,2,2
guva627,251,1,2,2
lohy238,252,1,4,4
cobi870,253,0,2,2
giki066,254,1,1,1
hywy001,255,1,1,1
feji918,256,1,1,1
luli756,257,1,2,2
wumu083,258,1,4,4
cyga680,259,1,2,2
buvy316,260,1,1,1
rejy122,261,1,1,1
dusi300,262,1,3,3
howe436,263,1,2,2
ropi792,264,1,1,1
jemy300,265,1,4,4
qexo432,266,1,3,3
kyso927,267,0,2,2
cozi663,268,1,2,2
vani542,269,1,3,3
kaxu871,270,1,2,2
moku835,271,1,3,3
cahe192,272,1,2,2
feso129,273,1,1,1
tufa140,274,1,1,1
zigi489,275,1,1,1
dahi696,276,1,2,2
quhe482,277,1,1,1
taxa827,278,1,2,2
vuga321,279,1,3,3
nycu731,280,1,4,4
raxy329,281,1,3,3
nyfe489,282,1,1,1
texu966,283,1,1,1
kifo712,284,0,2,2
pajo050,285,1,1,1
hefy659,286,1,2,2
tujy672,287,1,2,2
cyfe247,288,1,1,1
xori482,289,1,1,1
raje697,290,1,2,2
biwu043,291,1,2,2
cylu852,292,1,1,1
fode209,293,0,2,2
woju333,294,1,1,1
saca329,295,1,1,1
jizi110,296,1,1,1
vyxi492,297,1,4,4
xehy451,298,1,1,1
feke878,299,0,2,2
rozu771,300,1,1,1
duvi856,301,0,2,2
nexu635,302,0,2,2
cozi454,303,0,2,2
saze236,304,1,1,1
quzy338,305,1,1,1
lula174,306,1,2,2
buzo685,307,0,0,0
huby293,308,1,1,1
dyhi182,309,1,3,3
tatu362,310,1,2,2
bene344,311,1,3,3
keho061,312,1,2,2
vyxy108,313,1,1,1
zusa663,314,0,0,0
nehe056,315,1,1,1
myve834,316,1,1,1
tyhy481,317,0,2,2
sati762,318,0,2,2
biku776,319,1,1,1
wify666,320,1,4,4
sony276,321,1,2,2
tusi463,322,1,1,1
baco446,323,0,0,0
coni238,324,0,2,2
tuvu087,325,1,2,2
vuci475,326,1,1,1
seto741,327,1,2,2
jewe923,328,1,1,1
jaqy340,329,1,1,1
pubu440,330,0,2,2
gyjy255,331,1,1,1
zyte492,332,1,4,4
ruco451,333,1,1,1
loda300,334,1,1,1
moly152,335,1,2,2
cuba307,336,1,2,2
jupo405,337,1,1,1
xuke183,338,0,2,2
mado232,339,1,1,1
zafy372,340,1,2,2
gyly160,341,1,1,1
tapi010,342,1,1,1
gelu604,343,0,2,2
qiqi041,344,0,2,2
ratu271,345,1,1,1
kyqu130,346,1,3,3
lucu601,347,1,3,3
kama922,348,1,1,1
zoma564,349,1,1,1
puju088,350,1,3,3
jufy997,351,0,2,2
wyja070,352,1,1,1
dasy955,353,1,3,3
wyki565,354,1,1,1
garu074,355,1,2,2
qyxy586,356,1,1,1
kegi864,357,1,2,2
gyge774,358,1,3,3
vyda893,359,1,1,1
vuvy608,360,1,4,4
