IDCode,gmm_bic_best_label,gmm_aic_best_label,narrative_best_label,narrative_text
maju644,4,8,0,"The student answered 57 items with low accuracy (57.89% proportion correct). Their responses are fast on average (mean response time 10.95 seconds) and moderately variable in timing (response-time variance 163.35, coefficient of variation 1.17). They have a short longest correct streak (11 in a row) and a long longest incorrect streak (13 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.48). They have subject marks: S1=7, S2=26, S3=3, S5=3, S6=1 and overall missingness 3.47%."
xoki390,4,8,0,"The student answered 57 items with low accuracy (56.14% proportion correct). Their responses are fast on average (mean response time 14.62 seconds) and moderately variable in timing (response-time variance 295.05, coefficient of variation 1.17). They have a short longest correct streak (9 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.39). They have subject marks: S1=10, S2=20, S3=2, S5=5, S6=4 and overall missingness 5.21%."
buby236,2,1,0,"The student answered 57 items with low accuracy (28.07% proportion correct). Their responses are fast on average (mean response time 11.48 seconds) and moderately variable in timing (response-time variance 165.09, coefficient of variation 1.12). They have a short longest correct streak (11 in a row) and a long longest incorrect streak (23 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.20). They have subject marks: S1=3, S2=7, S3=2, S5=5, S6=2 and overall missingness 0.00%."
gelo627,4,4,0,"The student answered 57 items with low accuracy (54.39% proportion correct). Their responses are fast on average (mean response time 14.31 seconds) and moderately variable in timing (response-time variance 190.88, coefficient of variation 0.97). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (10 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.34). They have subject marks: S1=10, S2=23, S3=2, S5=3, S6=2 and overall missingness 0.00%."
copo281,2,1,0,"The student answered 57 items with low accuracy (33.33% proportion correct). Their responses are fast on average (mean response time 12.95 seconds) and moderately variable in timing (response-time variance 183.32, coefficient of variation 1.05). They have a short longest correct streak (5 in a row) and a long longest incorrect streak (26 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.23). They have subject marks: S1=5, S2=13, S3=1, S5=5, S6=0 and overall missingness 0.00%."
caro445,3,6,1,"The student answered 57 items with medium accuracy (78.95% proportion correct). Their responses are moderate on average (mean response time 17.98 seconds) and moderately variable in timing (response-time variance 213.60, coefficient of variation 0.81). They have a long longest correct streak (22 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.68). They have subject marks: S1=11, S2=30, S3=5, S5=5, S6=2 and overall missingness 0.00%."
zabe850,3,6,1,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are moderate on average (mean response time 18.11 seconds) and moderately variable in timing (response-time variance 212.57, coefficient of variation 0.80). They have a long longest correct streak (21 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70). They have subject marks: S1=13, S2=30, S3=5, S5=6, S6=4 and overall missingness 0.00%."
peqa279,1,6,1,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are moderate on average (mean response time 19.13 seconds) and moderately variable in timing (response-time variance 268.81, coefficient of variation 0.86). They have a long longest correct streak (38 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75). They have subject marks: S1=9, S2=28, S3=4, S5=8, S6=5 and overall missingness 0.00%."
heda014,1,6,1,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are moderate on average (mean response time 16.48 seconds) and moderately variable in timing (response-time variance 313.63, coefficient of variation 1.07). They have a long longest correct streak (27 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.77). They have subject marks: S1=13, S2=31, S3=5, S5=5, S6=5 and overall missingness 0.00%."
saca329,1,6,1,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are moderate on average (mean response time 18.01 seconds) and moderately variable in timing (response-time variance 282.47, coefficient of variation 0.93). They have a long longest correct streak (18 in a row) and a short longest incorrect streak (1 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70). They have subject marks: S1=12, S2=31, S3=5, S5=7, S6=3 and overall missingness 0.00%."
cofi309,5,0,2,"The student answered 57 items with medium accuracy (77.19% proportion correct). Their responses are slow on average (mean response time 28.60 seconds) and highly variable in timing (response-time variance 685.52, coefficient of variation 0.92). They have a long longest correct streak (29 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.66). They have subject marks: S1=11, S2=28, S3=4, S5=5, S6=5 and overall missingness 0.00%."
hamu369,5,2,2,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are slow on average (mean response time 23.01 seconds) and highly variable in timing (response-time variance 707.72, coefficient of variation 1.16). They have a long longest correct streak (25 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75). They have subject marks: S1=12, S2=32, S3=5, S5=4, S6=5 and overall missingness 0.00%."
jyri631,5,0,2,"The student answered 57 items with medium accuracy (80.70% proportion correct). Their responses are slow on average (mean response time 21.54 seconds) and highly variable in timing (response-time variance 761.83, coefficient of variation 1.28). They have a long longest correct streak (18 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70). They have subject marks: S1=13, S2=29, S3=5, S5=7, S6=3 and overall missingness 0.00%."
huho039,5,0,2,"The student answered 57 items with medium accuracy (77.19% proportion correct). Their responses are slow on average (mean response time 24.46 seconds) and highly variable in timing (response-time variance 738.96, coefficient of variation 1.11). They have a short longest correct streak (11 in a row) and a long longest incorrect streak (8 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70). They have subject marks: S1=10, S2=27, S3=5, S5=7, S6=3 and overall missingness 0.00%."
dyhi182,0,0,2,"The student answered 57 items with medium accuracy (71.93% proportion correct). Their responses are slow on average (mean response time 21.38 seconds) and highly variable in timing (response-time variance 482.67, coefficient of variation 1.03). They have a long longest correct streak (18 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55). They have subject marks: S1=10, S2=25, S3=5, S5=5, S6=4 and overall missingness 0.00%."
juqo313,3,6,3,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are fast on average (mean response time 11.37 seconds) and stable in timing (response-time variance 78.18, coefficient of variation 0.78). They have a long longest correct streak (29 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75). They have subject marks: S1=11, S2=30, S3=5, S5=7, S6=3 and overall missingness 0.00%."
kyqu130,3,6,3,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are fast on average (mean response time 12.29 seconds) and stable in timing (response-time variance 116.73, coefficient of variation 0.88). They have a long longest correct streak (18 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.73). They have subject marks: S1=9, S2=30, S3=5, S5=8, S6=4 and overall missingness 0.00%."
nysu060,3,9,3,"The student answered 57 items with medium accuracy (78.95% proportion correct). Their responses are fast on average (mean response time 12.78 seconds) and stable in timing (response-time variance 83.09, coefficient of variation 0.71). They have a long longest correct streak (18 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.68). They have subject marks: S1=13, S2=28, S3=5, S5=4, S6=5 and overall missingness 0.00%."
cahe192,1,6,3,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are fast on average (mean response time 12.19 seconds) and stable in timing (response-time variance 126.33, coefficient of variation 0.92). They have a long longest correct streak (42 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.79). They have subject marks: S1=11, S2=32, S3=5, S5=5, S6=4 and overall missingness 0.00%."
dahi696,1,6,3,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are fast on average (mean response time 9.65 seconds) and stable in timing (response-time variance 83.24, coefficient of variation 0.95). They have a long longest correct streak (31 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71). They have subject marks: S1=10, S2=29, S3=5, S5=7, S6=4 and overall missingness 0.00%."
tebo981,1,6,4,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are fast on average (mean response time 14.34 seconds) and moderately variable in timing (response-time variance 174.30, coefficient of variation 0.92). They have a long longest correct streak (31 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71). They have subject marks: S1=12, S2=27, S3=5, S5=7, S6=6 and overall missingness 0.00%."
pody147,1,6,4,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are fast on average (mean response time 14.17 seconds) and moderately variable in timing (response-time variance 208.81, coefficient of variation 1.02). They have a long longest correct streak (33 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.73). They have subject marks: S1=11, S2=28, S3=5, S5=8, S6=4 and overall missingness 0.00%."
weda047,1,6,4,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are fast on average (mean response time 12.28 seconds) and moderately variable in timing (response-time variance 193.99, coefficient of variation 1.13). They have a long longest correct streak (26 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.73). They have subject marks: S1=11, S2=32, S3=5, S5=5, S6=4 and overall missingness 0.00%."
tubo945,1,6,4,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are fast on average (mean response time 11.69 seconds) and moderately variable in timing (response-time variance 158.88, coefficient of variation 1.08). They have a long longest correct streak (28 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70). They have subject marks: S1=13, S2=28, S3=5, S5=8, S6=4 and overall missingness 0.00%."
ryhy064,1,6,4,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are fast on average (mean response time 14.44 seconds) and moderately variable in timing (response-time variance 247.23, coefficient of variation 1.09). They have a long longest correct streak (35 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.77). They have subject marks: S1=10, S2=32, S3=5, S5=6, S6=3 and overall missingness 0.00%."
xime971,4,4,5,"The student answered 57 items with low accuracy (49.12% proportion correct). Their responses are moderate on average (mean response time 14.67 seconds) and moderately variable in timing (response-time variance 172.65, coefficient of variation 0.90). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (17 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.34). They have subject marks: S1=7, S2=19, S3=2, S5=3, S6=2 and overall missingness 0.00%."
fuxa711,4,4,5,"The student answered 57 items with low accuracy (57.89% proportion correct). Their responses are moderate on average (mean response time 17.50 seconds) and moderately variable in timing (response-time variance 192.22, coefficient of variation 0.79). They have a short longest correct streak (11 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.41). They have subject marks: S1=8, S2=24, S3=4, S5=4, S6=1 and overall missingness 5.21%."
cupe992,2,1,5,"The student answered 57 items with low accuracy (31.58% proportion correct). Their responses are moderate on average (mean response time 17.96 seconds) and moderately variable in timing (response-time variance 229.44, coefficient of variation 0.84). They have a short longest correct streak (7 in a row) and a long longest incorrect streak (11 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.18). They have subject marks: S1=5, S2=14, S3=3, S5=0, S6=1 and overall missingness 27.79%."
kyzy131,4,4,5,"The student answered 57 items with low accuracy (52.63% proportion correct). Their responses are moderate on average (mean response time 18.32 seconds) and moderately variable in timing (response-time variance 228.06, coefficient of variation 0.82). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (7 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.34). They have subject marks: S1=10, S2=19, S3=2, S5=3, S6=4 and overall missingness 0.00%."
cave700,4,4,5,"The student answered 57 items with low accuracy (52.63% proportion correct). Their responses are moderate on average (mean response time 15.13 seconds) and moderately variable in timing (response-time variance 230.01, coefficient of variation 1.00). They have a short longest correct streak (9 in a row) and a long longest incorrect streak (9 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.41). They have subject marks: S1=7, S2=24, S3=3, S5=3, S6=0 and overall missingness 5.21%."
fafe171,4,3,6,"The student answered 57 items with low accuracy (45.61% proportion correct). Their responses are slow on average (mean response time 22.21 seconds) and highly variable in timing (response-time variance 433.71, coefficient of variation 0.94). They have a short longest correct streak (6 in a row) and a long longest incorrect streak (15 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.25). They have subject marks: S1=7, S2=18, S3=0, S5=4, S6=3 and overall missingness 24.32%."
pusu302,2,1,6,"The student answered 57 items with low accuracy (24.56% proportion correct). Their responses are slow on average (mean response time 22.39 seconds) and highly variable in timing (response-time variance 851.71, coefficient of variation 1.30). They have a short longest correct streak (4 in a row) and a long longest incorrect streak (26 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.14). They have subject marks: S1=6, S2=12, S3=0, S5=2, S6=0 and overall missingness 50.37%."
muvo194,4,3,6,"The student answered 57 items with low accuracy (54.39% proportion correct). Their responses are slow on average (mean response time 28.01 seconds) and highly variable in timing (response-time variance 658.17, coefficient of variation 0.92). They have a short longest correct streak (10 in a row) and a long longest incorrect streak (15 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.38). They have subject marks: S1=7, S2=21, S3=2, S5=4, S6=2 and overall missingness 22.58%."
zuha759,2,1,6,"The student answered 57 items with low accuracy (29.82% proportion correct). Their responses are slow on average (mean response time 22.42 seconds) and highly variable in timing (response-time variance 372.29, coefficient of variation 0.86). They have a short longest correct streak (4 in a row) and a long longest incorrect streak (22 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.16). They have subject marks: S1=2, S2=10, S3=0, S5=4, S6=3 and overall missingness 34.74%."
pipo687,2,1,6,"The student answered 57 items with low accuracy (35.09% proportion correct). Their responses are slow on average (mean response time 23.50 seconds) and highly variable in timing (response-time variance 861.98, coefficient of variation 1.25). They have a short longest correct streak (9 in a row) and a long longest incorrect streak (22 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.23). They have subject marks: S1=2, S2=12, S3=3, S5=4, S6=1 and overall missingness 34.74%."
ninu744,2,4,7,"The student answered 57 items with low accuracy (38.60% proportion correct). Their responses are fast on average (mean response time 13.39 seconds) and stable in timing (response-time variance 68.46, coefficient of variation 0.62). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (13 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.25). They have subject marks: S1=2, S2=19, S3=0, S5=3, S6=0 and overall missingness 1.74%."
kojo378,4,4,7,"The student answered 57 items with low accuracy (45.61% proportion correct). Their responses are fast on average (mean response time 13.20 seconds) and stable in timing (response-time variance 110.96, coefficient of variation 0.80). They have a short longest correct streak (5 in a row) and a long longest incorrect streak (12 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.27). They have subject marks: S1=6, S2=19, S3=2, S5=4, S6=0 and overall missingness 5.21%."
xiza150,4,4,7,"The student answered 57 items with low accuracy (49.12% proportion correct). Their responses are fast on average (mean response time 12.46 seconds) and stable in timing (response-time variance 71.66, coefficient of variation 0.68). They have a short longest correct streak (11 in a row) and a long longest incorrect streak (8 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.39). They have subject marks: S1=4, S2=16, S3=3, S5=3, S6=4 and overall missingness 0.00%."
