K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
2,full,-67379.52714814575,-69355.37226971434,-63675.852269714196,0.24501467,48.084072,2.674320616879247
2,diag,-69018.43655381248,-69365.60239946771,-69336.40679507211,0.32110053,34.947777,2.6364199442553087
2,tied,-67691.5178904453,-68767.30341216704,-68323.4297279565,0.35083723,71.79868,1.5509794418955225
2,spherical,-64726.220170571,-64910.51808863488,-64902.84263224543,0.24470451,114.87084,1.7654094222725585
3,full,-66584.62438160251,-69550.53506300264,inf,0.07445742,55.21152,2.7054243926368895
3,diag,-68864.58006155989,-69387.47182908996,-69314.97907546678,0.089561634,52.84058,3.114149151981992
3,tied,-67762.9142851494,-68928.70576685581,-68366.16031231036,0.06966012,47.58546,2.56973773730255
3,spherical,-65309.810530449424,-65588.4004065925,-65570.18384608295,0.10840071,87.65214,2.268282518517798
4,full,-65622.46154178563,-69578.4377830173,inf,0.07046043,50.396385,3.0265797464648583
4,diag,-68694.59936249397,-69393.21705189892,-69249.88193125548,0.045422617,43.143497,2.9560454563651297
4,tied,-67998.76919968607,-69254.56664137717,-68545.57898705617,0.10472119,41.16708,2.162918495219002
4,spherical,-65625.54357654646,-65998.42541076873,-65964.32296088009,0.08835932,73.16454,2.299586675158767
5,full,-64676.80058847187,-69622.8423895351,inf,0.049813192,45.65663,2.991497847462182
5,diag,-68568.5015738874,-69442.84518516721,-69190.91747432384,0.061613712,44.152065,2.535691890718751
5,tied,-68085.7227921531,-69431.52619382889,-68540.4451127478,0.05456337,34.693314,2.721171748737878
5,spherical,-65891.02597249935,-66358.19976480083,-66302.04051421535,0.081360504,64.51614,2.2748501633257106
6,full,-63616.787293755755,-69552.89465465053,inf,0.052829146,45.458153,2.532376456729224
6,diag,-68410.92450121352,-69460.9940343682,-69046.76723024448,0.033424053,31.21471,3.2252779536295066
6,tied,-68123.63987057476,-69559.44923223523,-68439.44923223522,0.06859117,36.164753,2.085057950523856
6,spherical,-66013.22451173647,-66574.69026211713,-66489.29766952453,0.07664723,57.688663,2.1574570440949543
7,full,-62658.266615916946,-69584.43953664327,inf,0.06256577,46.114056,2.3825975480724204
7,diag,-68282.33005097623,-69508.12550600577,-68851.46950600577,0.061261274,37.7951,2.1390991151744716
7,tied,-68217.70376374754,-69743.5190853927,-68331.38575205936,0.040026966,28.538582,2.457827189229927
7,spherical,-66073.90088949932,-66729.65859795918,-66606.61943346831,0.07336194,53.086353,2.2370081593657933
8,full,-61747.4060131202,-69663.64449367808,inf,0.04551497,40.31906,2.521242010757918
8,diag,-68143.62087314726,-69545.14225005166,-68518.76904431001,0.023559703,31.978888,2.563046873647004
8,tied,-68210.0048542709,-69825.82613590074,-68033.29783401392,0.03850713,28.286627,2.7084572672483267
8,spherical,-66129.8006503611,-66879.85031690015,-66709.21319778658,0.07775786,50.34765,2.3008807102882267
9,full,-60533.90081271227,-69440.20485310169,inf,0.04850389,39.485386,2.498771868761985
9,diag,-67986.10478142384,-69563.3520802031,-67946.78065163169,0.031029057,33.30432,2.387623552457858
9,tied,-68117.80887431854,-69823.63611593307,-67522.15785506347,0.043503303,29.486803,2.4893904030739176
9,spherical,-66158.26816984222,-67002.60979446047,-66772.48590065516,0.07468122,46.733574,2.287967141167064
10,full,-59474.877606310554,-69371.24720653152,inf,0.044684883,36.23221,2.4487685999624036
10,diag,-67809.08811212488,-69562.061332779,-66921.27393120422,0.023148453,28.99381,2.613410168258524
10,tied,-68051.34174429986,-69847.17494589908,-66838.9698176939,0.03324073,24.934896,2.564848360309097
10,spherical,-66210.88661633791,-67149.52019903535,-66845.54543562842,0.07422513,42.92459,2.1153443871869655
