IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
paxi044,0,0,0,0
pivi588,1,0,0,0
weda047,2,0,0,0
zoka501,3,1,1,1
hyku415,4,0,0,0
syvi476,5,0,0,0
kuqy630,6,0,0,0
node314,7,0,0,0
mybu425,8,0,0,0
pyqy867,9,0,0,0
tywo507,10,0,0,0
nuhi137,11,0,0,0
vuho146,12,0,0,0
nysa238,13,0,0,0
kisa730,14,0,0,0
doza768,15,0,0,0
sapu497,16,0,0,0
dila385,17,0,0,0
pymu787,18,1,1,1
bejy525,19,0,0,0
bajo794,20,0,0,0
dugu064,21,0,0,0
hiwu738,22,0,0,0
zucy684,23,0,0,0
huxe147,24,0,0,0
woza563,25,0,0,0
neku787,26,0,0,0
navo572,27,0,0,0
gola051,28,0,0,0
pyzo535,29,0,0,0
xoky149,30,1,1,1
loxu319,31,0,0,0
qisu640,32,0,0,0
gery678,33,0,0,0
huho039,34,0,0,0
wozo826,35,0,0,0
soru820,36,0,0,0
fari709,37,0,0,0
qapo730,38,0,0,0
najy705,39,1,1,1
sejy814,40,0,0,0
laze716,41,0,0,0
kojo378,42,1,1,1
tepu554,43,0,0,0
dyva324,44,0,0,0
pusu302,45,0,0,0
xamy888,46,0,0,0
ninu744,47,0,0,0
punu537,48,0,0,0
zufa556,49,0,0,0
losy787,50,1,1,1
fuxa711,51,1,1,1
myzo000,52,1,1,1
jygo886,53,0,0,0
dyzo734,54,1,1,1
ciky680,55,0,0,0
nopo152,56,0,0,0
tivy194,57,0,0,0
biry098,58,1,1,1
tebo981,59,0,0,0
jyma323,60,0,0,0
cani065,61,0,0,0
puxi257,62,0,0,0
jemy201,63,0,0,0
woqa919,64,0,0,0
huze427,65,0,0,0
jaxe723,66,0,0,0
xamy676,67,0,0,0
lowy720,68,0,0,0
mixa281,69,0,0,0
sipy389,70,0,0,0
bube109,71,0,0,0
boqe999,72,0,0,0
guzo911,73,0,0,0
guxe800,74,0,0,0
dove442,75,0,0,0
zivi062,76,0,0,0
lury747,77,0,0,0
tuve726,78,0,0,0
vihu826,79,1,1,1
hata313,80,0,0,0
hoki309,81,0,0,0
kyzy131,82,0,0,0
syti148,83,0,0,0
syco853,84,0,0,0
sefy975,85,0,0,0
jese656,86,1,1,1
guge611,87,0,0,0
mesi806,88,0,0,0
sesi698,89,0,0,0
gopa505,90,0,0,0
duwi894,91,1,1,1
hasa034,92,0,0,0
pile112,93,0,0,0
sivi804,94,0,0,0
maho931,95,0,0,0
waho571,96,0,0,0
mowy859,97,1,1,1
rihi168,98,1,1,1
siry766,99,0,0,0
qefe646,100,0,0,0
zojo883,101,0,0,0
dero258,102,0,0,0
mika525,103,0,0,0
xohi599,104,0,0,0
tebe135,105,0,0,0
naso669,106,0,0,0
qecu035,107,0,0,0
zywy107,108,0,0,0
cave700,109,1,1,1
nupy082,110,0,0,0
hoge626,111,0,0,0
nivo041,112,0,0,0
karo919,113,1,1,1
vuhe805,114,0,0,0
kebi083,115,0,0,0
faly535,116,0,0,0
gelo627,117,0,0,0
vili771,118,0,0,0
katu927,119,0,0,0
xiza150,120,0,0,0
bevi590,121,0,0,0
huve181,122,0,0,0
fite050,123,0,0,0
nysu060,124,0,0,0
kaho190,125,1,1,1
lany944,126,0,0,0
maqu534,127,0,0,0
wuga870,128,0,0,0
wyva352,129,0,0,0
hime464,130,0,0,0
jexu775,131,0,0,0
tuga736,132,0,0,0
hyfe498,133,0,0,0
bomo360,134,0,0,0
lomo204,135,0,0,0
mipe544,136,0,0,0
hufy497,137,0,0,0
rapo919,138,0,0,0
gata076,139,0,0,0
muvo194,140,0,0,0
cywo537,141,0,0,0
xamy327,142,0,0,0
cogu074,143,0,0,0
rapo615,144,0,0,0
zady580,145,0,0,0
nujo284,146,1,1,1
syzu625,147,0,0,0
myte214,148,0,0,0
tyzo440,149,0,0,0
vyzo298,150,0,0,0
hiwu589,151,1,1,1
sazy810,152,1,1,1
turi097,153,0,0,0
foji729,154,0,0,0
dexe201,155,0,0,0
dosu709,156,0,0,0
doxe392,157,1,1,1
culu497,158,0,0,0
lije367,159,0,0,0
vice024,160,0,0,0
kapy740,161,0,0,0
vudi262,162,0,0,0
tuza510,163,0,0,0
tubo945,164,0,0,0
bofi323,165,0,0,0
zeji633,166,0,0,0
bowo488,167,0,0,0
pipo687,168,0,0,0
core934,169,0,0,0
dedu084,170,0,0,0
lowa532,171,0,0,0
zuha759,172,1,1,1
qafu966,173,0,0,0
lobo127,174,0,0,0
homa046,175,1,1,1
keno764,176,0,0,0
habe142,177,0,0,0
joti731,178,0,0,0
reve265,179,0,0,0
cyca115,180,0,0,0
rawo522,181,0,0,0
pogi169,182,0,0,0
vepi727,183,0,0,0
risy585,184,0,0,0
fefu774,185,0,0,0
wyxo615,186,0,0,0
ciby707,187,0,0,0
xuvy948,188,0,0,0
ravy196,189,0,0,0
loge702,190,0,0,0
viry492,191,0,0,0
gowa049,192,0,0,0
vyva107,193,0,0,0
duxo262,194,0,0,0
peto053,195,0,0,0
difi858,196,0,0,0
xoru423,197,0,0,0
wizy437,198,0,0,0
kuge219,199,0,0,0
hazu473,200,0,0,0
gono087,201,0,0,0
vury347,202,0,0,0
copo281,203,0,0,0
heda014,204,0,0,0
powu461,205,0,0,0
peqa279,206,0,0,0
lufy687,207,0,0,0
koze985,208,0,0,0
hadi890,209,0,0,0
recu163,210,0,0,0
xyzi642,211,0,0,0
nejy388,212,0,0,0
tezy480,213,0,0,0
nawu690,214,0,0,0
mofe780,215,0,0,0
nily317,216,0,0,0
roho333,217,0,0,0
xime971,218,0,0,0
muqo157,219,0,0,0
riby296,220,0,0,0
pala257,221,0,0,0
tuby409,222,0,0,0
hoxo855,223,0,0,0
qixy634,224,0,0,0
niri091,225,1,1,1
lazi600,226,0,0,0
qedo478,227,0,0,0
ruhu758,228,0,0,0
cima563,229,0,0,0
lyzy104,230,0,0,0
xafy802,231,0,0,0
bacy598,232,0,0,0
kexi927,233,0,0,0
cumo221,234,0,0,0
kami789,235,0,0,0
zoko875,236,0,0,0
sina926,237,0,0,0
fise899,238,0,0,0
cija437,239,0,0,0
manu258,240,0,0,0
zuwa573,241,0,0,0
joxi410,242,0,0,0
muta539,243,0,0,0
reqy562,244,0,0,0
doxe492,245,0,0,0
gylu244,246,0,0,0
maxy370,247,0,0,0
ryko512,248,0,0,0
kula014,249,0,0,0
jeqy595,250,0,0,0
guva627,251,0,0,0
lohy238,252,0,0,0
cobi870,253,0,0,0
giki066,254,0,0,0
hywy001,255,0,0,0
feji918,256,0,0,0
luli756,257,0,0,0
wumu083,258,0,0,0
cyga680,259,0,0,0
buvy316,260,0,0,0
rejy122,261,0,0,0
dusi300,262,0,0,0
howe436,263,0,0,0
ropi792,264,0,0,0
jemy300,265,0,0,0
qexo432,266,0,0,0
kyso927,267,0,0,0
cozi663,268,0,0,0
vani542,269,0,0,0
kaxu871,270,0,0,0
moku835,271,0,0,0
cahe192,272,0,0,0
feso129,273,0,0,0
tufa140,274,0,0,0
zigi489,275,0,0,0
dahi696,276,0,0,0
quhe482,277,0,0,0
taxa827,278,0,0,0
vuga321,279,0,0,0
nycu731,280,0,0,0
raxy329,281,0,0,0
nyfe489,282,0,0,0
